size,ptmalloc,	size,tcmalloc,	size,jemalloc,	size,hoard,
64,0x602010,0x602060	64,0xe0e000,0xe0e080	64,0x2aaaabc0e040,0x2aaaabc0e080	64,0x2aaaaab20070,0x2aaaaab200b0
1024,0x6020b0,0x6024c0	1024,0xe12000,0xe12800	1024,0x2aaaabc0f400,0x2aaaabc0f800	1024,0x2aaaaab30070,0x2aaaaab30470
3001,0x6028d0,0x6034a0	3001,0xe16000,0xe17800	3001,0x2aaaabc1fc00,0x2aaaabc20800	3001,0x2aaaaab40070,0x2aaaaab41070
4096,0x604070,0x605080	4096,0xe1a000,0xe1c000	4096,0x2aaaabc40000,0x2aaaabc41000	4096,0x2aaaaab42070,0x2aaaaab43070
5111,0x606090,0x607490	5111,0xe1e000,0xe20800	5111,0x2aaaabc42000,0x2aaaabc44000	5111,0x2aaaaab50070,0x2aaaaab52070
8192,0x608890,0x60a8a0	8192,0xe22000,0xe24000	8192,0x2aaaabc46000,0x2aaaabc48000	8192,0x2aaaaab54070,0x2aaaaab56070
20000,0x60c8b0,0x6116e0	20000,0xe26000,0xe2b000	20000,0x2aaaabc4a000,0x2aaaabc4f000	20000,0x2aaaaab60070,0x2aaaaab70070
100000,0x616510,0x62ebc0	100000,0xe30000,0xe4a000	100000,0x2aaaabc54000,0x2aaaabc6d000	100000,0x2aaaaab80070,0x2aaaaaba0070
1048576,0x2aaaaaaf3010,0x2aaaab098010	1048576,0xe64000,0xf64000	1048576,0x2aaaabc86000,0x2aaaabd86000	1048576,0x2aaaabf40070,0x2aaaac060070
4194304,0x2aaaab199010,0x2aaaab59a010	4194304,0x1064000,0x1464000	4194304,0x2aaaac000000,0x2aaaac400000	4194304,0x2aaaac180070,0x2aaaac590070
16777216,0x2aaaab99b010,0x2aaaac99c010	16777216,0x1864000,0x2864000	16777216,0x2aaaac800000,0x2aaaad800000	16777216,0x2aaaac9a0070,0x2aaaadaf0070
268435456,0x2aaaad99d010,0x2aaabd99e010	268435456,0x3864000,0x13864000	268435456,0x2aaaae800000,0x2aaabe800000	268435456,0x2aaaaec40070,0x2aaabf660070
1073741824,0x2aaacd99f010,0x2aab0d9a0010	1073741824,0x23864000,0x63864000	1073741824,0x2aaace800000,0x2aab0e800000	1073741824,0x2aaad0080070,0x2aab17890070
