Performance counter,Mnemonic,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
LD_BLOCKS.STORE_FORWARD,r0203:u,2,1,1,1,1,1,1,1,1,1,1,6,1,3,1,1
LD_BLOCKS.NO_SR,r0803:u,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MISALIGN_MEM_REF.LOADS,r0105:u,5,5,5,5,5,5,4,5,5,5,4,4,5,6,5,5
MISALIGN_MEM_REF.STORES,r0205:u,19,20,19,19,18,20,18,20,19,19,19,21,21,21,22,21
LD_BLOCKS_PARTIAL.ADDRESS_ALIAS,r0107:u,3242,79333,150364,212548,204074,135216,79661,32524,4064,2551,3767,3329,2660,4076,3867,3995
DTLB_LOAD_MISSES.MISS_CAUSES_A_WALK,r0108:u,1818,1823,1825,1816,1810,1812,1816,1802,1821,1825,1822,1828,1832,1820,1827,1821
DTLB_LOAD_MISSES.WALK_COMPLETED_4K,r0208:u,1531,1542,1540,1534,1534,1533,1531,1518,1529,1546,1538,1541,1545,1538,1549,1537
DTLB_LOAD_MISSES.WALK_COMPLETED_2M_4M,r0408:u,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DTLB_LOAD_MISSES.WALK_COMPLETED,r0e08:u,1549,1553,1537,1537,1542,1538,1534,1526,1538,1546,1540,1537,1538,1539,1535,1535
DTLB_LOAD_MISSES.WALK_DURATION,r1008:u,33117,33290,32988,33102,32860,32595,32853,32867,33095,33463,32764,33272,32994,33186,33031,32976
DTLB_LOAD_MISSES.STLB_HIT_4K,r2008:u,12712,12699,12690,12773,12878,12552,12686,12690,12837,12826,12699,12946,12694,12691,12778,12868
DTLB_LOAD_MISSES.STLB_HIT_2M,r4008:u,14,14,14,16,13,13,14,12,14,12,13,13,12,15,12,14
DTLB_LOAD_MISSES.STLB_HIT,r6008:u,12779,12655,12726,12742,12780,12580,12681,12728,12893,12795,12716,12901,12738,12931,12788,12869
DTLB_LOAD_MISSES.PDE_CACHE_MISS,r8008:u,570,571,563,581,572,557,564,577,567,563,558,569,567,577,585,573
INT_MISC.RECOVERY_CYCLES,r030d:u,39379,39310,38695,39327,39336,38492,38930,38584,38401,38688,38246,38237,38924,39202,39544,39004
