Performance counter,Mnemonic,Correlation,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
LD_BLOCKS.STORE_FORWARD,r0203:u,0.325885043258,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
LD_BLOCKS.NO_SR,r0803:u,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MISALIGN_MEM_REF.LOADS,r0105:u,0.514310234582,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0
MISALIGN_MEM_REF.STORES,r0205:u,0.0488927113532,0,0,0,0,0,0,0,-1,0,0,0,0,-1,0,0,0
LD_BLOCKS_PARTIAL.ADDRESS_ALIAS,r0107:u,0.815870139184,2910,77702,147624,210273,202215,131809,79648,30104,3245,2126,2751,2844,2214,3632,3375,3602
DTLB_LOAD_MISSES.MISS_CAUSES_A_WALK,r0108:u,0.0184653182174,13,8,3,9,6,9,7,5,2,5,10,5,8,6,7,6
DTLB_LOAD_MISSES.WALK_COMPLETED_4K,r0208:u,0.165589100005,9,5,1,5,2,4,4,2,1,1,5,2,3,1,2,2
DTLB_LOAD_MISSES.WALK_COMPLETED_2M_4M,r0408:u,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DTLB_LOAD_MISSES.WALK_COMPLETED,r0e08:u,-0.0236301364234,7,10,3,3,1,3,3,2,3,1,7,1,1,1,4,4
DTLB_LOAD_MISSES.WALK_DURATION,r1008:u,0.135465162695,336,346,298,141,236,318,223,244,225,152,341,123,123,167,228,325
DTLB_LOAD_MISSES.STLB_HIT_4K,r2008:u,-0.703340921937,14075,13989,13965,13952,13887,13918,13962,13965,13878,13968,14028,14084,14158,14061,14093,14043
DTLB_LOAD_MISSES.STLB_HIT_2M,r4008:u,-0.16235908428,0,0,-1,-1,0,0,-1,0,-1,0,0,0,0,-1,0,0
DTLB_LOAD_MISSES.STLB_HIT,r6008:u,-0.622234420689,14067,14003,13981,13981,13898,13908,13958,13984,13872,13973,14020,14078,14142,14026,14082,14065
DTLB_LOAD_MISSES.PDE_CACHE_MISS,r8008:u,0.128487616101,-1,1,1,1,0,3,1,0,1,1,3,1,1,0,0,1
INT_MISC.RECOVERY_CYCLES,r030d:u,-0.174843275319,1010,1133,1103,1374,1236,1220,1303,1164,1609,1545,1538,1129,1209,1387,1280,1166
UOPS_ISSUED.ANY,r010e:u,-0.174199355108,3479386,3480189,3480080,3482255,3481128,3480330,3481408,3480559,3484112,3483389,3482991,3480093,3480544,3482291,3481705,3480170
UOPS_ISSUED.FLAGS_MERGE,r100e:u,0.230568615087,-2,0,3,1,-1,2,2,1,0,2,1,1,0,0,2,1
UOPS_ISSUED.SLOW_LEA,r200e:u,0.0885060503484,38,45,45,37,39,48,43,39,39,39,46,39,38,38,47,42
UOPS_ISSUED.SiNGLE_MUL,r400e:u,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L2_RQSTS.DEMAND_DATA_RD_MISS,r2124:u,-0.0129233256273,13850,14756,16719,15718,12899,15864,14137,14491,13100,15871,14944,18406,13562,13615,17569,15422
L2_RQSTS.DEMAND_DATA_RD_HIT,r4124:u,0.866440384682,83438,84357,82438,84526,93694,94769,94527,95007,83758,83122,83388,79924,70535,68937,72178,71585
L2_RQSTS.ALL_DEMAND_DATA_RD,re124:u,0.919739478527,107281,108371,104180,108379,113044,113233,112921,109748,98451,101727,98110,94564,84451,84461,90655,89925
L2_RQSTS.RFO_HIT,r4224:u,-0.731223273355,43,46,46,46,44,40,42,41,52,51,53,53,51,48,50,50
L2_RQSTS.RFO_MISS,r2224:u,0.61893525688,28,32,32,36,34,46,51,68,27,30,28,28,28,29,30,31
L2_RQSTS.ALL_RFO,re224:u,0.839367160837,9497,9691,9694,9855,8604,8799,8272,7344,80,81,84,85,80,80,81,82
L2_RQSTS.CODE_RD_HIT,r4424:u,-0.308190918196,2,5,5,2,5,3,4,6,6,1,7,2,4,4,7,9
L2_RQSTS.CODE_RD_MISS,r2424:u,-0.256890207677,28,38,28,25,30,20,33,34,31,28,33,34,27,26,33,42
L2_RQSTS.ALL_DEMAND_MISS,r2724:u,-0.257567884596,13237,15687,15694,14483,13241,12152,13105,14744,12196,13034,11777,14944,17572,13502,16605,15474
L2_RQSTS.ALL_DEMAND_REFERENCES,re724:u,0.92459883194,115017,116342,115507,116558,119918,120164,119189,121380,99874,99629,97641,95629,93390,86566,87995,90492
L2_RQSTS.ALL_CODE_RD,re424:u,-0.297454971756,35,43,23,28,42,33,26,36,70,36,35,49,43,27,36,31
L2_RQSTS.L2_PF_HIT,r5024:u,0.0305402489353,6279,7304,7655,7165,7634,8610,9089,5889,8633,8517,7821,9721,5807,8081,8384,6695
L2_RQSTS.L2_PF_MISS,r3024:u,-0.121433738662,226836,227387,228812,225358,224317,232762,235571,220120,231135,230911,233847,232153,223821,229517,230720,226156
L2_RQSTS.ALL_PF,rf824:u,0.238492652303,328011,321185,324607,326828,334190,334710,337267,342243,344428,315504,345487,327245,306029,330785,327895,323275
L2_RQSTS.MISS,r3f24:u,0.292409934136,260923,260090,260521,262587,261722,260480,262852,263810,262851,255756,264546,259355,253433,261745,260024,261640
