Performance counter,Mnemonic,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
LD_BLOCKS.STORE_FORWARD,r0203:u,1,1,2,1,1,1,1,3,1,2,4,1,1,2,1,3
LD_BLOCKS.NO_SR,r0803:u,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MISALIGN_MEM_REF.LOADS,r0105:u,9,9,9,10,9,10,9,8,9,10,8,8,8,9,9,9
MISALIGN_MEM_REF.STORES,r0205:u,49,48,48,48,49,48,48,48,47,48,48,48,48,43,43,43
LD_BLOCKS_PARTIAL.ADDRESS_ALIAS,r0107:u,14678,814455,1043636,1046088,1037241,990952,548601,145813,66722,45654,26291,18024,13785,13646,13404,13719
DTLB_LOAD_MISSES.MISS_CAUSES_A_WALK,r0108:u,1913,1982,1945,1922,1938,1933,1916,1919,1892,1892,1902,1898,1903,1927,1907,1931
DTLB_LOAD_MISSES.WALK_COMPLETED_4K,r0208:u,1536,1615,1572,1554,1570,1560,1552,1544,1528,1524,1534,1529,1541,1547,1541,1545
DTLB_LOAD_MISSES.WALK_COMPLETED_2M_4M,r0408:u,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DTLB_LOAD_MISSES.WALK_COMPLETED,r0e08:u,1526,1617,1555,1571,1571,1559,1546,1539,1525,1534,1528,1545,1546,1546,1545,1551
DTLB_LOAD_MISSES.WALK_DURATION,r1008:u,32035,33300,32370,32808,32724,32337,32137,32027,32279,31762,31872,32267,32279,32660,32674,32710
DTLB_LOAD_MISSES.STLB_HIT_4K,r2008:u,2002,2029,1919,1945,1890,1953,1839,1900,2471,1782,2132,1936,1971,2396,2623,2396
DTLB_LOAD_MISSES.STLB_HIT_2M,r4008:u,1,2,2,2,2,1,2,1,2,1,1,2,2,4,4,4
DTLB_LOAD_MISSES.STLB_HIT,r6008:u,2382,1967,1741,1774,1842,1990,1855,2005,2029,1769,2061,1867,1951,1906,2648,2028
DTLB_LOAD_MISSES.PDE_CACHE_MISS,r8008:u,540,522,516,517,515,513,511,520,516,511,519,515,520,523,527,525
INT_MISC.RECOVERY_CYCLES,r030d:u,49402,49680,49205,48158,48394,48058,48112,48760,48233,46737,47141,48085,47150,47418,47369,47661
UOPS_ISSUED.ANY,r010e:u,7911041,7926846,7924321,7909362,7909264,7905166,7903979,7913667,7907272,7900329,7899121,7908844,7899268,7903661,7900896,7904745
UOPS_ISSUED.FLAGS_MERGE,r100e:u,1489,1496,1501,1496,1489,1492,1498,1495,1495,1483,1492,1482,1504,1505,1477,1477
UOPS_ISSUED.SLOW_LEA,r200e:u,2378,2405,2416,2413,2370,2410,2431,2379,2403,2387,2378,2387,2469,2450,2369,2398
UOPS_ISSUED.SiNGLE_MUL,r400e:u,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L2_RQSTS.DEMAND_DATA_RD_MISS,r2124:u,3196,3868,4262,3792,3816,3786,4779,3677,3903,4753,3863,3614,4999,4030,3712,3670
