Performance counter,Mnemonic,Correlation,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
LD_BLOCKS.STORE_FORWARD,r0203:u,0.509941318762,0,0,0,0,0,0,0,-1,0,-1,-1,0,0,-1,0,-1
LD_BLOCKS.NO_SR,r0803:u,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MISALIGN_MEM_REF.LOADS,r0105:u,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MISALIGN_MEM_REF.STORES,r0205:u,0.0703660486613,-1,0,0,0,-1,0,0,0,0,0,0,0,-1,0,0,0
LD_BLOCKS_PARTIAL.ADDRESS_ALIAS,r0107:u,0.952724039636,14275,806918,1045648,1043119,1038100,990449,531756,104746,26880,18982,16115,13749,12987,12766,12795,12845
DTLB_LOAD_MISSES.MISS_CAUSES_A_WALK,r0108:u,0.174550525474,5,7,6,7,4,4,6,4,6,6,6,5,6,5,8,2
DTLB_LOAD_MISSES.WALK_COMPLETED_4K,r0208:u,0.174027792136,3,4,4,5,3,3,3,3,4,4,4,3,3,4,5,2
DTLB_LOAD_MISSES.WALK_COMPLETED_2M_4M,r0408:u,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DTLB_LOAD_MISSES.WALK_COMPLETED,r0e08:u,0.0751451929206,3,4,4,5,2,2,7,5,4,1,6,4,2,5,3,4
DTLB_LOAD_MISSES.WALK_DURATION,r1008:u,0.233108294015,202,209,221,253,143,189,340,244,167,146,286,222,143,207,126,222
DTLB_LOAD_MISSES.STLB_HIT_4K,r2008:u,0.173923612594,369,277,217,636,405,93,745,225,252,127,645,321,250,362,166,260
DTLB_LOAD_MISSES.STLB_HIT_2M,r4008:u,0.363031150485,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1
DTLB_LOAD_MISSES.STLB_HIT,r6008:u,-0.16502997376,180,340,195,309,395,139,494,443,452,156,308,372,675,205,192,502
DTLB_LOAD_MISSES.PDE_CACHE_MISS,r8008:u,0.0709095626058,-2,1,0,1,2,1,3,1,1,1,1,2,3,0,0,1
INT_MISC.RECOVERY_CYCLES,r030d:u,0.480616699633,6331,7040,7166,6362,6451,6089,6663,6465,6214,6336,6402,6291,6788,6394,5985,6502
