Performance counter,Mnemonic,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
LD_BLOCKS.STORE_FORWARD,r0203:u,34,32,34,34,31,36,34,34,33,35,35,35,34,35,35,34
LD_BLOCKS.NO_SR,r0803:u,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MISALIGN_MEM_REF.LOADS,r0105:u,28,28,29,29,28,30,30,30,31,30,30,32,30,30,30,30
MISALIGN_MEM_REF.STORES,r0205:u,103,103,104,104,103,95,96,95,95,96,96,96,95,96,95,95
LD_BLOCKS_PARTIAL.ADDRESS_ALIAS,r0107:u,2306,673816,1341322,1989022,2052890,1889221,1801862,1638953,1381022,768336,441064,204734,109275,53036,41415,54067
DTLB_LOAD_MISSES.MISS_CAUSES_A_WALK,r0108:u,25595,11517,11547,11310,11388,11434,11619,11335,10951,11384,11527,11216,11065,11472,11599,11354
DTLB_LOAD_MISSES.WALK_COMPLETED_4K,r0208:u,24612,10545,10607,10385,10448,10467,10673,10375,10027,10436,10557,10271,10123,10520,10618,10406
DTLB_LOAD_MISSES.WALK_COMPLETED_2M_4M,r0408:u,29,27,29,29,30,28,28,28,27,29,29,29,30,28,28,28
DTLB_LOAD_MISSES.WALK_COMPLETED,r0e08:u,24504,10424,10642,10676,10204,10608,10443,10448,10171,10333,10333,10548,10440,10628,10536,10519
DTLB_LOAD_MISSES.WALK_DURATION,r1008:u,447339,263095,268801,266193,254627,263614,260651,261608,258019,262532,262138,263094,263985,264094,265216,263826
DTLB_LOAD_MISSES.STLB_HIT_4K,r2008:u,89733,81095,86327,91903,88452,83140,85892,81235,83067,87528,82601,84898,86774,83075,84371,81703
DTLB_LOAD_MISSES.STLB_HIT_2M,r4008:u,57,58,54,54,58,58,58,53,57,55,54,58,61,55,57,53
DTLB_LOAD_MISSES.STLB_HIT,r6008:u,87173,83595,84465,82924,83607,84170,84338,80569,92402,82586,83341,83320,82986,83562,80312,83015
DTLB_LOAD_MISSES.PDE_CACHE_MISS,r8008:u,1998,1915,1947,1995,1955,1976,1964,2024,1921,1933,1917,2009,2006,1886,1905,1887
INT_MISC.RECOVERY_CYCLES,r030d:u,126250,143766,140776,144268,122343,147098,147048,148282,119427,146810,152778,152479,123793,143360,144950,142290
UOPS_ISSUED.ANY,r010e:u,28495354,28879850,29139162,28837142,28916035,28618798,29028337,28051198,29456043,28754281,28773095,28541942,28113246,28940934,28556082,28781448
UOPS_ISSUED.FLAGS_MERGE,r100e:u,1858,1860,1866,1867,1869,1862,1869,1873,1856,1854,1861,1867,1855,1865,1859,1867
UOPS_ISSUED.SLOW_LEA,r200e:u,52867,68611,68417,72229,71956,56674,74178,63084,63228,59354,54143,71429,52880,49528,59888,49142
UOPS_ISSUED.SiNGLE_MUL,r400e:u,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L2_RQSTS.DEMAND_DATA_RD_MISS,r2124:u,1218867,1228388,1241180,1237218,1177356,1205162,1233708,1231160,1189068,1224949,1243938,1220675,1202381,1213370,1240385,1241540
L2_RQSTS.DEMAND_DATA_RD_HIT,r4124:u,527621,545393,546301,554974,571234,560464,572871,564363,568773,575571,591079,591068,601457,562443,584309,620671
L2_RQSTS.ALL_DEMAND_DATA_RD,re124:u,1749628,1816897,1810690,1807852,1792802,1809993,1837644,1831490,1807275,1874567,1895199,1881640,1878929,1854044,1883716,1922478
L2_RQSTS.RFO_HIT,r4224:u,7597,9267,10915,10889,8953,9906,10889,10809,7375,8317,9286,9217,6942,8158,9515,9577
L2_RQSTS.RFO_MISS,r2224:u,117812,146698,151104,154778,123353,145646,155470,155262,115766,145991,152077,150971,120968,142536,152821,156546
L2_RQSTS.ALL_RFO,re224:u,129872,157329,167218,168448,130444,162779,169331,171889,131422,150606,164818,162804,125588,151678,160727,166039
L2_RQSTS.CODE_RD_HIT,r4424:u,2581,2475,2598,2534,2527,2498,2497,2565,2488,2473,2551,2513,2579,2559,2549,2491
L2_RQSTS.CODE_RD_MISS,r2424:u,4691,4630,4694,4554,4622,4576,4661,4619,4551,4573,4684,4458,4823,4963,4565,4546
L2_RQSTS.ALL_DEMAND_MISS,r2724:u,1331190,1399983,1409041,1392652,1284886,1363345,1392847,1397981,1310448,1358292,1399886,1380331,1317535,1377081,1387525,1398218
L2_RQSTS.ALL_DEMAND_REFERENCES,re724:u,1882243,1950123,1997088,2025399,1936728,1970024,2023438,2007567,1964993,2012620,2061043,2069454,1984636,2037932,2047964,2038656
L2_RQSTS.ALL_CODE_RD,re424:u,7042,7035,7344,7205,7299,7182,7054,7227,7439,7299,7245,7177,7143,7339,7366,7056
L2_RQSTS.L2_PF_HIT,r5024:u,239530,255352,254444,259728,253305,259437,262407,265101,246348,255243,257595,252878,247771,254842,265533,261208
