Performance counter,Mnemonic,Correlation,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
LD_BLOCKS.STORE_FORWARD,r0203:u,-0.0960704091622,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0
LD_BLOCKS.NO_SR,r0803:u,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MISALIGN_MEM_REF.LOADS,r0105:u,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MISALIGN_MEM_REF.STORES,r0205:u,-0.12015317875,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0
LD_BLOCKS_PARTIAL.ADDRESS_ALIAS,r0107:u,0.449599722619,166,61173,121763,180536,185671,170012,161430,145588,122077,66669,37027,16743,8650,3608,2995,4605
DTLB_LOAD_MISSES.MISS_CAUSES_A_WALK,r0108:u,0.317559513381,1671,349,379,350,387,366,380,350,374,375,400,362,384,392,392,353
DTLB_LOAD_MISSES.WALK_COMPLETED_4K,r0208:u,0.319414826132,1664,344,374,348,384,359,376,345,367,367,388,355,374,383,382,349
DTLB_LOAD_MISSES.WALK_COMPLETED_2M_4M,r0408:u,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DTLB_LOAD_MISSES.WALK_COMPLETED,r0e08:u,0.311772954223,1662,350,378,375,345,370,352,342,374,363,353,377,391,392,358,357
DTLB_LOAD_MISSES.WALK_DURATION,r1008:u,0.325835992382,26582,9476,10122,9655,8729,9627,9123,9073,9675,9855,9219,9730,9902,9792,9450,9224
DTLB_LOAD_MISSES.STLB_HIT_4K,r2008:u,-0.0167419696793,7482,6588,7301,7966,7703,6792,6446,6662,6970,7473,6935,6750,7331,7045,7141,7082
DTLB_LOAD_MISSES.STLB_HIT_2M,r4008:u,-0.295375732451,2,2,1,1,2,2,2,1,2,2,2,2,2,2,2,1
DTLB_LOAD_MISSES.STLB_HIT,r6008:u,-0.00802703783914,7171,6697,7055,6802,6666,7209,6823,6540,7946,6783,6836,6625,7042,7324,6473,7036
DTLB_LOAD_MISSES.PDE_CACHE_MISS,r8008:u,0.093011148606,14,16,11,12,9,10,11,19,11,6,12,26,16,5,13,5
INT_MISC.RECOVERY_CYCLES,r030d:u,-0.0153133457191,3700,5710,5028,5241,3255,5622,5557,5674,3440,5829,6547,6689,3641,5502,5818,5375
UOPS_ISSUED.ANY,r010e:u,-0.0578894764774,2172128,2199917,2293899,2261495,2168883,2239246,2255664,2181239,2344309,2311708,2262741,2170403,2214209,2348281,2208554,2282156
UOPS_ISSUED.FLAGS_MERGE,r100e:u,0.0945222154678,2,1,3,-1,-1,0,1,3,1,2,2,3,1,2,3,2
UOPS_ISSUED.SLOW_LEA,r200e:u,0.582327071087,-36,-1023,1116,-361,-489,-27,1544,431,204,1101,-758,299,-1231,-290,-142,-595
UOPS_ISSUED.SiNGLE_MUL,r400e:u,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L2_RQSTS.DEMAND_DATA_RD_MISS,r2124:u,0.353936518672,109738,111420,111867,112354,106926,109607,112030,111280,106719,110198,112101,109371,108349,109546,111185,111529
L2_RQSTS.DEMAND_DATA_RD_HIT,r4124:u,-0.522813021551,50211,51683,51777,52386,54361,53046,54245,53594,54378,54906,56267,56374,57326,53479,55512,59393
L2_RQSTS.ALL_DEMAND_DATA_RD,re124:u,-0.506518762541,160898,167361,165823,166235,165731,166610,168759,168282,165969,172112,173984,172385,172851,170293,172869,176408
L2_RQSTS.RFO_HIT,r4224:u,0.429997179988,676,832,975,974,811,894,982,969,651,746,825,815,616,724,845,846
L2_RQSTS.RFO_MISS,r2224:u,0.0922589643356,10794,13373,13721,14114,11366,13325,14228,14184,10593,13390,13890,13741,11085,13007,13951,14286
L2_RQSTS.ALL_RFO,re224:u,0.248686090094,11933,14339,15274,15356,11882,14986,15472,15694,12025,13723,14995,14822,11471,13783,14607,15095
L2_RQSTS.CODE_RD_HIT,r4424:u,-0.0720595622035,4,-3,13,4,1,-9,-4,8,2,-4,7,3,8,12,10,3
L2_RQSTS.CODE_RD_MISS,r2424:u,-0.142553973441,48,45,49,40,42,35,43,45,34,33,51,29,63,74,40,44
L2_RQSTS.ALL_DEMAND_MISS,r2724:u,0.334110860943,120678,126793,128028,126102,116226,123617,126236,126898,117645,121916,125565,123742,119004,123135,124269,125300
L2_RQSTS.ALL_DEMAND_REFERENCES,re724:u,-0.256147972261,172512,178635,183105,185807,178191,180514,185562,184237,180092,183932,188144,189153,181951,186254,186966,186348
L2_RQSTS.ALL_CODE_RD,re424:u,-0.197459969832,36,49,58,59,66,53,21,59,74,54,63,46,41,53,77,36
L2_RQSTS.L2_PF_HIT,r5024:u,-0.283002955718,22073,23344,23126,23724,23420,23894,24072,24226,22909,23776,24026,23465,22991,23964,24787,24172
L2_RQSTS.L2_PF_MISS,r3024:u,-0.240454054682,149784,154489,159805,165450,160009,160952,162516,164540,155177,161521,164312,167267,154999,162422,167495,166367
L2_RQSTS.ALL_PF,rf824:u,-0.333535146907,177919,190233,191940,195090,191008,195141,198895,200858,192945,197225,203563,205668,191873,197903,203626,202806
L2_RQSTS.MISS,r3f24:u,-0.149329093316,271877,286823,288291,291244,279791,289363,297158,296174,282706,288467,297753,297933,282146,291691,299383,294883
L2_RQSTS.REFERENCES,rff24:u,-0.337761172243,350255,369952,370948,375768,368388,376679,385926,386000,373238,381376,393192,394424,374409,382779,394336,389176
L2_DEMAND_RQSTS.WB_HIT,r5027:u,-0.52487923773,890,1197,1147,1140,1993,2254,2470,2435,2945,3260,3848,3680,3714,3259,3651,3416
LONGEST_LAT_CACHE.REFERENCE,cache-references:u,0.281475275211,129738,134188,137751,136462,128327,132666,137104,137954,127661,133236,134662,135391,128302,133147,135347,136216
LONGEST_LAT_CACHE.MISS,cache-misses:u,0.839317269068,5254,3297,5041,2973,2209,3546,2653,4004,2465,2113,1712,-184,1647,-348,612,-311
CPU_CLK_UNHALTED.THREAD_P,cycles:u,1.0,2679729,2396125,2789582,2520725,2395346,2562758,2666749,2658824,2435958,2547460,2575388,2368605,2405756,2265606,2307771,2309684
CPU_CLK_THREAD_UNHALTED.REF_XCLK,bus-cycles:u,0.999716578895,72612,65108,75609,68412,64881,69554,72164,72119,66094,68848,69646,64126,65232,61529,62568,62529
