Performance counter,Mnemonic,0
LD_BLOCKS.STORE_FORWARD,r0203:u,16
LD_BLOCKS.NO_SR,r0803:u,0
MISALIGN_MEM_REF.LOADS,r0105:u,32
MISALIGN_MEM_REF.STORES,r0205:u,28
LD_BLOCKS_PARTIAL.ADDRESS_ALIAS,r0107:u,6475504
DTLB_LOAD_MISSES.MISS_CAUSES_A_WALK,r0108:u,94899
DTLB_LOAD_MISSES.WALK_COMPLETED_4K,r0208:u,94243
DTLB_LOAD_MISSES.WALK_COMPLETED_2M_4M,r0408:u,0
DTLB_LOAD_MISSES.WALK_COMPLETED,r0e08:u,93908
DTLB_LOAD_MISSES.WALK_DURATION,r1008:u,3726276
DTLB_LOAD_MISSES.STLB_HIT_4K,r2008:u,258208
DTLB_LOAD_MISSES.STLB_HIT_2M,r4008:u,0
DTLB_LOAD_MISSES.STLB_HIT,r6008:u,298166
DTLB_LOAD_MISSES.PDE_CACHE_MISS,r8008:u,2478
INT_MISC.RECOVERY_CYCLES,r030d:u,18239557
UOPS_ISSUED.ANY,r010e:u,5481407496
UOPS_ISSUED.FLAGS_MERGE,r100e:u,67393454
UOPS_ISSUED.SLOW_LEA,r200e:u,67821734
UOPS_ISSUED.SiNGLE_MUL,r400e:u,0
L2_RQSTS.DEMAND_DATA_RD_MISS,r2124:u,1512358
L2_RQSTS.DEMAND_DATA_RD_HIT,r4124:u,1829815
L2_RQSTS.ALL_DEMAND_DATA_RD,re124:u,3624777
L2_RQSTS.RFO_HIT,r4224:u,14508
L2_RQSTS.RFO_MISS,r2224:u,41471
L2_RQSTS.ALL_RFO,re224:u,61150
L2_RQSTS.CODE_RD_HIT,r4424:u,4541
L2_RQSTS.CODE_RD_MISS,r2424:u,4741
L2_RQSTS.ALL_DEMAND_MISS,r2724:u,1550139
L2_RQSTS.ALL_DEMAND_REFERENCES,re724:u,3742532
L2_RQSTS.ALL_CODE_RD,re424:u,9411
L2_RQSTS.L2_PF_HIT,r5024:u,1685828
L2_RQSTS.L2_PF_MISS,r3024:u,9590881
L2_RQSTS.ALL_PF,rf824:u,20075311
L2_RQSTS.MISS,r3f24:u,13376688
L2_RQSTS.REFERENCES,rff24:u,23785874
L2_DEMAND_RQSTS.WB_HIT,r5027:u,20648
LONGEST_LAT_CACHE.REFERENCE,cache-references:u,4359076
LONGEST_LAT_CACHE.MISS,cache-misses:u,1023178
CPU_CLK_UNHALTED.THREAD_P,cycles:u,2063681032
CPU_CLK_THREAD_UNHALTED.REF_XCLK,bus-cycles:u,53633352
L1D_PEND_MISS.PENDING,r0148:u,277012787
DTLB_STORE_MISSES.MISS_CAUSES_A_WALK,r0149:u,401202
DTLB_STORE_MISSES.WALK_COMPLETED_4K,r0249:u,394170
DTLB_STORE_MISSES.WALK_COMPLETED_2M_4M,r0449:u,0
DTLB_STORE_MISSES.WALK_COMPLETED,r0e49:u,394322
DTLB_STORE_MISSES.WALK_DURATION,r1049:u,8442620
DTLB_STORE_MISSES.STLB_HIT_4K,r2049:u,369514
DTLB_STORE_MISSES.STLB_HIT_2M,r4049:u,0
DTLB_STORE_MISSES.STLB_HIT,r6049:u,331213
DTLB_STORE_MISSES.PDE_CACHE_MISS,r8049:u,132367
LOAD_HIT_PRE.SW_PF,r014c:u,76647
LOAD_HIT_PRE.HW_PF,r024c:u,41602884
L1D.REPLACEMENT,r0151:u,12717885
MOVE_ELIMINATION.INT_NOT_ELIMINATED,r0458:u,315838
MOVE_ELIMINATION.SIMD_NOT_ELIMINATED,r0858:u,4
MOVE_ELIMINATION.INT_ELIMINATED,r0158:u,2068722
MOVE_ELIMINATION.SIMD_ELIMINATED,r0258:u,123
CPL_CYCLES.RING0,r015c:u,132090
CPL_CYCLES.RING123,r025c:u,2065885103
RS_EVENTS.EMPTY_CYCLES,r015e:u,73829022
OFFCORE_REQUESTS_OUTSTANDING.DEMAND_DATA_RD,r0160:u,4659913301
OFFCORE_REQUESTS_OUTSTANDING.DEMAND_CODE_RD,r0260:u,4279366764
OFFCORE_REQUESTS_OUTSTANDING.DEMAND_RFO,r0460:u,158585805
OFFCORE_REQUESTS_OUTSTANDING.ALL_DATA_RD,r0860:u,4424621857
LOCK_CYCLES.SPLIT_LOCK_UC_LOCK_DURATION,r0163:u,0
LOCK_CYCLES.CACHE_LOCK_DURATION,r0263:u,212
IDQ.EMPTY,r0279:u,231486620
