Performance counter,Mnemonic,0,1
RESOURCE_STALLS.RS,r04a2:u,272833,135900
L2_RQSTS.RFO_HIT,r4224:u,69,67
LSD.UOPS,r01a8:u,1059131,1058564
L2_RQSTS.RFO_MISS,r2224:u,123,127
UOPS_EXECUTED_PORT.PORT_7,r80a1:u,137862,131882
DTLB_STORE_MISSES.STLB_HIT_4K,r2049:u,294,294
CPL_CYCLES.RING123,r025c:u,690895,832806
UOPS_EXECUTED_PORT.PORT_2,r04a1:u,336035,345766
OFFCORE_REQUESTS_OUTSTANDING.DEMAND_RFO,r0460:u,120154,1067959
CYCLE_ACTIVITY.STALLS_L2_PENDING,r05a3:u,492163,512649
CPU_CLK_UNHALTED.THREAD_P,cycles:u,698101,829103
UOPS_EXECUTED_PORT.PORT_6,r40a1:u,234672,180675
LD_BLOCKS_PARTIAL.ADDRESS_ALIAS,r0107:u,121,327908
RESOURCE_STALLS.ANY,r01a2:u,276648,408071
L2_TRANS.RFO,r02f0:u,249,250
L2_RQSTS.ALL_DEMAND_DATA_RD,re124:u,1097,1091
UOPS_EXECUTED_PORT.PORT_0,r01a1:u,239356,106916
L2_TRANS.L2_WB,r40f0:u,402,395
UOPS_EXECUTED_PORT.PORT_4,r10a1:u,280908,276586
CPU_CLK_THREAD_UNHALTED.REF_XCLK,bus-cycles:u,19698,23632
UOPS_EXECUTED_PORT.PORT_5,r20a1:u,250450,122051
UOPS_EXECUTED_PORT.PORT_1,r02a1:u,247572,99270
OFFCORE_REQUESTS.DEMAND_RFO,r04b0:u,129,130
CYCLE_ACTIVITY.CYCLES_LDM_PENDING,r02a3:u,1183945,1449964
MEM_LOAD_UOPS_RETIRED.L2_MISS,r10d1:u,565,562
L2_RQSTS.ALL_RFO,re224:u,245,245
UOPS_EXECUTED_PORT.PORT_3,r08a1:u,358324,355080
