Performance counter,Mnemonic,Median,199,455
LD_BLOCKS.STORE_FORWARD,r0203:u,0,0,0
LD_BLOCKS.NO_SR,r0803:u,0,0,0
MISALIGN_MEM_REF.LOADS,r0105:u,4,6,6
MISALIGN_MEM_REF.STORES,r0205:u,19,22,22
LD_BLOCKS_PARTIAL.ADDRESS_ALIAS,r0107:u,137,327871,327848
DTLB_LOAD_MISSES.MISS_CAUSES_A_WALK,r0108:u,338,328,346
DTLB_LOAD_MISSES.WALK_COMPLETED_4K,r0208:u,267,267,270
DTLB_LOAD_MISSES.WALK_COMPLETED_2M_4M,r0408:u,0,0,0
DTLB_LOAD_MISSES.WALK_COMPLETED,r0e08:u,267,266,267
DTLB_LOAD_MISSES.WALK_DURATION,r1008:u,6112,6057,6085
DTLB_LOAD_MISSES.STLB_HIT_4K,r2008:u,379,357,419
DTLB_LOAD_MISSES.STLB_HIT_2M,r4008:u,0,0,0
DTLB_LOAD_MISSES.STLB_HIT,r6008:u,379,381,335
DTLB_LOAD_MISSES.PDE_CACHE_MISS,r8008:u,158,155,158
INT_MISC.RECOVERY_CYCLES,r030d:u,11619,11332,11530
UOPS_ISSUED.ANY,r010e:u,1211719,1210288,1211535
UOPS_ISSUED.FLAGS_MERGE,r100e:u,755,755,769
UOPS_ISSUED.SLOW_LEA,r200e:u,1021,1038,1091
UOPS_ISSUED.SiNGLE_MUL,r400e:u,0,0,0
L2_RQSTS.DEMAND_DATA_RD_MISS,r2124:u,513,525,522
L2_RQSTS.DEMAND_DATA_RD_HIT,r4124:u,370,366,374
L2_RQSTS.ALL_DEMAND_DATA_RD,re124:u,1122,1143,1130
L2_RQSTS.RFO_HIT,r4224:u,60,64,65
L2_RQSTS.RFO_MISS,r2224:u,108,118,110
L2_RQSTS.ALL_RFO,re224:u,216,218,220
L2_RQSTS.CODE_RD_HIT,r4424:u,530,501,518
L2_RQSTS.CODE_RD_MISS,r2424:u,1129,1088,1121
L2_RQSTS.ALL_DEMAND_MISS,r2724:u,1752,1700,1748
