Performance counter,Mnemonic,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
LOAD_BLOCK.STA,r0203:u,1617,1370,1795,1277,1395,1562,1850,1301,1418,1289,1926,2621,1341,1261,1246,1816,1544,1261,1208,1247,1388,1556,2292,1260,1282,1450,1406,1707,1399,1342,1360,1411
LOAD_BLOCK.STD,r0403:u,258402,258513,262804,250331,252217,257161,258909,249681,253956,253165,261552,271352,256150,254515,249855,254245,259948,250270,254454,249607,249411,253798,267850,250690,253560,253663,252814,259375,258905,258588,249735,254057
LOAD_BLOCK.OVERLAP_STORE,r0803:u,3168961,3168901,3170099,2120945,31252,22961,22684,22674,22638,22641,22643,22646,22644,22648,22638,22650,22741,22829,22648,22638,22640,22644,22729,22729,22644,22647,22644,22648,22725,22653,22643,22642
LOAD_BLOCK.UNTIL_RETIRE,r1003:u,80,78,67,70,71,72,56,69,67,61,68,62,67,62,70,68,73,63,66,65,70,63,64,68,57,66,66,61,64,69,63,64
LOAD_BLOCK.L1D,r2003:u,8448,9147,8656,83613,72119,9916,20708,26574,12407,18347,15267,13746,33516,22125,10567,125310,88492,123631,65891,41583,69012,9408,10084,14493,22807,16567,14293,10923,17122,28378,10755,125263
SB_DRAIN_CYCLES,r0104:u,577,567,591,848,422,413,528,560,402,395,401,444,636,391,399,428,419,936,1120,1043,425,418,433,429,515,402,418,404,476,462,390,533
STORE_BLOCK.ORDER,r0204:u,328931,329150,330484,365051,381177,328584,328640,330297,351037,331420,328651,329553,336847,331863,334940,381740,344506,399267,403373,330486,388410,327771,327871,336318,351217,332342,328525,329482,328777,346680,330285,381061
STORE_BLOCK.SNOOP,r0804:u,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEGMENT_REG_LOADS,r0006:u,5608,5703,5559,5502,5493,5499,5495,5542,5560,5505,5493,5495,5500,5592,5487,5516,5488,5488,5527,5569,5490,5493,5502,5492,5501,5540,5492,5500,5493,5522,5559,5494
SSE_PRE_EXEC.NTA,r0007:u,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSE_PRE_EXEC.L1,r0107:u,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSE_PRE_EXEC.L2,r0207:u,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSE_PRE_EXEC.STORES,r0307:u,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DTLB_MISSES.ANY,r0108:u,4394,4094,3841,3663,3387,3362,3356,3348,3358,3398,3352,3341,3345,3355,3424,3356,3356,3354,3350,3392,3381,3361,3345,3350,3341,3367,3363,3361,3355,3359,3353,3348
DTLB_MISSES.MISS_LD,r0208:u,2097,2098,2109,2093,2105,2137,2081,2093,2095,2093,2124,2084,2094,2092,2093,2129,2086,2090,2092,2100,2096,2119,2085,2090,2080,2096,2102,2102,2078,2083,2076,2104
DTLB_MISSES.L0_MISS_LD,r0408:u,7025,6808,7037,6982,7003,7158,6977,6995,6988,6993,7133,6978,6980,6997,7006,7144,6974,6991,6993,7005,7052,7104,6983,6975,6987,6985,7063,7104,6980,6989,6975,7091
DTLB_MISSES.MISS_ST,r0808:u,2276,2002,1699,1576,1267,1263,1261,1265,1266,1265,1263,1262,1265,1265,1273,1263,1268,1264,1262,1262,1265,1264,1264,1263,1262,1261,1264,1262,1264,1262,1264,1268
MEMORY_DISAMBIGUATION.RESET,r0109:u,8,8,8,8,9,9,8,8,8,7,8,7,8,7,10,8,8,7,8,8,8,8,9,8,8,7,8,7,8,7,7,10
MEMORY_DISAMBIGUATION.SUCCESS,r0209:u,560866,559617,559561,558523,564551,561853,563461,555192,560738,562198,560826,562395,559218,561723,558282,560527,564206,564838,554366,561504,564687,560821,560016,561611,561298,561021,565033,560974,564318,564813,561816,558664
PAGE_WALKS.COUNT,r010c:u,4042,3746,3436,3321,3006,3040,3058,3009,3001,3002,3048,3143,2997,3001,3009,3036,3010,3008,3008,3001,3001,3041,3068,3010,3004,3003,2996,3013,3042,3003,3008,3000
PAGE_WALKS.CYCLES,r020c:u,46867,48323,44523,48831,41316,41767,41736,41257,41238,41679,40960,41245,41509,41434,41259,41386,45492,47287,41347,41790,40974,41186,44436,46634,41057,41321,41175,41426,45115,41582,41310,41811
FP_COMP_OPS_EXE,r0010:u,11535788,11536292,11536538,11536889,11535782,11535775,11535840,11535899,11535788,11535771,11535782,11535813,11535827,11535787,11535769,11535786,11535764,11535769,11535825,11535778,11535789,11535777,11535781,11535812,11535851,11535769,11535776,11535782,11535817,11535805,11535796,11536039
FP_ASSIST,r0011:u,17,18,28,8,1,9,9,9,10,7,9,8,8,13,8,9,9,10,10,12,8,10,8,10,9,16,9,9,7,10,14,10
MUL,r0012:u,5243869,5244036,5244047,5244271,5243734,5243722,5243721,5243719,5243752,5243761,5243732,5243729,5243723,5243721,5243726,5243728,5243731,5243719,5243720,5243719,5243725,5243719,5243719,5243720,5243719,5243737,5243780,5243721,5243718,5243717,5243719,5243854
DIV,r0013:u,102,102,101,102,103,102,102,102,102,102,102,101,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,101
CYCLES_DIV_BUSY,r0014:u,1121,1119,1118,1123,1118,1122,1124,1121,1122,1119,1124,1120,1116,1120,1120,1121,1118,1122,1118,1122,1122,1124,1125,1123,1123,1121,1123,1120,1124,1123,1123,1120
IDLE_DURING_DIV,r0018:u,164,160,152,158,161,157,155,159,163,156,151,157,155,160,154,156,162,153,153,154,157,154,156,153,161,150,160,165,157,152,161,154
DELAYED_BYPASS.FP,r0019:u,7328729,7326928,7327020,6910462,7324454,7329548,7328965,7327163,7329831,7329736,7330014,7329383,7326137,7329902,7329773,7329427,7329032,7326594,7327800,7325412,7325226,7329936,7329982,7325668,7328880,7329869,7326183,7325851,7328788,7327919,7329460,7326985
DELAYED_BYPASS.SIMD,r0119:u,48,48,45,44,44,45,47,47,47,47,48,47,45,44,43,45,47,44,45,48,47,47,46,43,46,45,45,46,43,45,46,44
DELAYED_BYPASS.LOAD,r0219:u,1051447,535568,12228,999492,105697,23032,21411,24441,42650,102489,44020,25364,26922,65899,32045,143934,192459,80369,78080,215801,89275,20449,22289,21445,36021,55523,93130,25232,26728,63010,47798,142469
