Performance counter,Mnemonic,Correlation,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
LOAD_BLOCK.STA,r0203:u,0.427893367183,205065,146088,187310,190630,131689,132741,239879,189031,127241,118131,72655,198142,90267,266277,56371,105545,92556,103866,95318,85030,108128,72737,75870,141162,100967,106454,76019,210893,103346,267480,53525,104244
LOAD_BLOCK.STD,r0403:u,-0.0618723279819,-218,44,-304,-1108,-150,250,775,-39,-1183,293,713,-191,2031,143,740,24,-68,-1775,222,1340,-42,390,-415,1033,-695,114,-1209,28,-674,-169,-1454,105
LOAD_BLOCK.OVERLAP_STORE,r0803:u,0.845229539719,2241991,2550584,2504987,2538166,2249887,2318557,1473765,1620025,741406,809437,101921,112657,36573,2808,36040,7,81385,3892,67880,34874,86810,2397,40841,118062,23845,120657,38274,39055,37617,6617,36565,7
LOAD_BLOCK.UNTIL_RETIRE,r1003:u,0.226633180192,132119,137248,132110,132108,132104,132111,132095,132078,124724,132098,132095,132096,132097,132097,132097,137264,132097,137220,132095,136234,132097,134153,132098,132098,132081,132097,132091,132097,132097,132097,132097,137273
LOAD_BLOCK.L1D,r2003:u,-0.414409115496,1435,1214,641,1339,558,1534,1869,2660,50982,2496,4837,3132,63795,2896,39875,13956,2217,5998,3072,96,14277,1784,14828,12893,6341,9813,10582,857,64057,2416,32047,13093
SB_DRAIN_CYCLES,r0104:u,0.0375151221523,4,2113,4196,60273,3085,9379,3116,66662,3284,5392,3642,60939,3120,5462,3530,57196,73680,8036,3339,69110,64194,19135,5277,71283,3307,11610,4157,59619,3474,5443,3188,56621
STORE_BLOCK.ORDER,r0204:u,-0.277351044537,159039,94816,577,114216,108803,56585,57723,130998,749295,56292,4591,123227,720538,68722,33591,111636,423594,83916,411,142957,514918,49305,937,154532,703303,69052,558,139927,715838,65403,32720,115372
STORE_BLOCK.SNOOP,r0804:u,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEGMENT_REG_LOADS,r0006:u,0.952312793432,105,105,108,120,58,87,25,71,27,56,31,53,36,34,25,56,43,47,34,39,24,53,26,42,23,40,27,49,25,50,24,43
SSE_PRE_EXEC.NTA,r0007:u,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSE_PRE_EXEC.L1,r0107:u,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSE_PRE_EXEC.L2,r0207:u,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSE_PRE_EXEC.STORES,r0307:u,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DTLB_MISSES.ANY,r0108:u,-0.0775085183511,556,566,543,590,529,594,565,573,565,569,567,575,564,566,569,523,567,542,566,530,573,673,578,527,567,575,621,584,574,568,565,532
DTLB_MISSES.MISS_LD,r0208:u,0.136757819049,401,410,391,583,382,432,421,570,414,423,416,429,412,417,407,526,413,398,418,523,414,500,419,524,413,415,482,423,413,424,416,524
DTLB_MISSES.L0_MISS_LD,r0408:u,-0.613385161163,814,829,804,873,787,957,1435,2195,834,2200,1836,1413,2162,1415,1940,1710,1766,1732,1854,799,1309,913,1754,887,1422,926,1766,1815,2165,1064,1796,1567
DTLB_MISSES.MISS_ST,r0808:u,-0.177576740707,151,153,152,1,152,152,152,0,152,152,149,153,154,152,152,0,153,147,153,1,152,152,152,1,151,153,152,156,152,153,152,0
MEMORY_DISAMBIGUATION.RESET,r0109:u,-0.258390428775,-1,0,0,-1,-1,0,0,0,0,0,-1,-1,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0
MEMORY_DISAMBIGUATION.SUCCESS,r0209:u,-0.763348655135,10,-648,52,355,384,-574,64608,51553,13987,30230,98960,112242,124304,132782,145812,40276,109816,82006,112058,53535,115445,121179,101503,90855,115315,101903,106217,73838,130631,121566,146127,45472
PAGE_WALKS.COUNT,r010c:u,-0.190827722391,544,551,535,571,526,580,561,573,566,557,565,579,563,564,554,522,562,538,563,521,566,660,566,520,572,564,616,579,557,563,571,531
PAGE_WALKS.CYCLES,r020c:u,0.0915086978173,5491,4892,5433,4907,5265,4282,5417,3725,4388,5358,4740,4625,4151,4322,5008,5106,4141,5695,4579,4214,5418,6594,5938,5704,4340,4554,5507,5054,5351,5343,4371,4825
FP_COMP_OPS_EXE,r0010:u,-0.155290834374,2622464,2622463,2623486,2623486,2623527,2630653,2626572,2654284,2629698,2657188,2629718,2671259,2629751,2663440,2629688,2667182,2629690,2658773,2629752,2665113,2629694,2652196,2629776,2664497,2629626,2656541,2629811,2670880,2629720,2663233,2629634,2667108
FP_ASSIST,r0011:u,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MUL,r0012:u,-0.163763376637,1311746,1311745,1311744,1311745,1311780,1315839,1313801,1328173,1315845,1331168,1315829,1339482,1315839,1335137,1315847,1338355,1315803,1334272,1315799,1335071,1315846,1329181,1315840,1336214,1315845,1331257,1315848,1339388,1315838,1334999,1315802,1338413
DIV,r0013:u,-0.170598721925,0,0,-1,-1,0,-1,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0
CYCLES_DIV_BUSY,r0014:u,-0.245826894404,-1,-1,-1,-1,0,-1,-1,-1,0,-1,0,0,-1,0,-1,-1,0,0,-1,0,-1,-1,0,-1,-1,-1,-1,-1,0,0,-1,-1
IDLE_DURING_DIV,r0018:u,0.204889851455,-1,0,0,0,0,0,0,0,0,0,-1,1,-1,-1,-1,0,-1,-1,0,0,-2,0,1,0,0,-1,-1,-1,0,-1,-1,0
DELAYED_BYPASS.FP,r0019:u,0.814623165777,1311832,1311789,1312132,1311980,1311742,1249598,1205583,1239216,1256343,1266041,1147236,1231139,1119634,1201003,1110813,1156649,1139324,1234492,1128911,1118316,1169285,1225040,1121094,1254142,1172646,1196375,1125780,1230434,1119900,1201927,1122135,1156542
DELAYED_BYPASS.SIMD,r0119:u,0.256544535819,0,0,0,0,0,-1,-1,0,0,0,0,-1,0,-1,-1,0,-1,-1,0,-1,-1,-1,0,0,-1,0,-1,0,0,0,0,-1
DELAYED_BYPASS.LOAD,r0219:u,-0.688450945595,-159,98,-111,-32,1079,3724,1942,22534,13654,54333,132765,22426,60223,70405,87422,69398,149997,152151,141363,68248,143473,113366,124992,67763,134817,27536,136645,47035,67587,70297,85300,69215
L2_ADS.CORE,r4021:u,0.0324391336135,339752,327041,333884,336077,337391,334120,326345,327908,329978,328105,331307,341955,330798,333245,336355,331313,330927,342240,331386,340415,337361,334595,331150,340054,337463,339592,331020,329925,341578,335766,338612,332655
L2_DBUS_BUSY_RD.CORE,r4023:u,0.444899344607,623772,680767,673480,699402,690353,694730,661010,681394,663469,690088,652899,663436,639392,669420,661535,675959,627314,656486,652933,660607,626196,697662,637560,667181,639221,675627,655341,660599,621254,658796,637662,691584
L2_LINES_IN.CORE,r4024:u,0.514830965916,3160,3231,3159,3247,3068,3185,3100,3089,3099,3103,3099,3148,3133,3180,3174,3112,3097,3137,3115,3118,3127,3147,3114,3152,3171,3141,3173,3171,3134,3095,3177,3129
