Performance counter,Mnemonic,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
LOAD_BLOCK.STA,r0203:u,1305,1468,1654,1398,1356,1739,1250,1306,1290,1212,1576,1335,1389,1413,1671,1292,2025,1341,1442,1314,1372,1711,1240,2062,1338,1464,1287,1891,1304,1772,1453,1242
LOAD_BLOCK.STD,r0403:u,254047,252592,270678,252470,249638,265147,249678,253670,262626,256496,260350,250501,252674,250773,264057,253422,260243,250588,250802,256764,253831,255368,249893,269816,251262,257603,258532,266082,254071,257776,253983,254562
LOAD_BLOCK.OVERLAP_STORE,r0803:u,2115824,3163310,2121607,2118105,25465,17290,17325,17375,17326,17318,17104,17202,17173,17258,17287,17034,17277,17078,17379,17134,17147,16945,17008,17094,17288,17331,17131,17184,17085,17306,17252,17392
LOAD_BLOCK.UNTIL_RETIRE,r1003:u,70,70,64,78,66,65,60,58,65,65,55,66,65,66,68,62,60,61,65,64,70,62,67,65,62,57,68,68,66,62,60,76
LOAD_BLOCK.L1D,r2003:u,9902,71642,10746,25316,35189,30119,32342,33478,29424,31904,31610,31517,36009,30941,32498,30300,32972,29652,35142,39242,34427,26285,32332,33973,31390,27534,31771,31156,34379,31877,34676,31479
SB_DRAIN_CYCLES,r0104:u,336,271,315,259,268,268,284,289,257,305,269,262,263,259,281,264,265,277,267,253,400,258,274,260,263,263,262,270,259,308,284,271
STORE_BLOCK.ORDER,r0204:u,328502,327943,328165,327231,330954,329899,328542,353508,334606,339566,330144,348584,329295,328802,331553,330280,330836,330160,348510,329777,332549,328831,344806,330469,329106,328997,334048,329482,329164,331221,329580,346898
STORE_BLOCK.SNOOP,r0804:u,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEGMENT_REG_LOADS,r0006:u,5541,5541,5506,5507,5555,5481,5483,5504,5485,5511,5491,5532,5487,5587,5487,5571,5486,5511,5490,5482,5551,5496,5558,5495,5563,5496,5616,5503,5518,5486,5486,5491
SSE_PRE_EXEC.NTA,r0007:u,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSE_PRE_EXEC.L1,r0107:u,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSE_PRE_EXEC.L2,r0207:u,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSE_PRE_EXEC.STORES,r0307:u,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DTLB_MISSES.ANY,r0108:u,3528,3524,3509,3491,3365,3327,3326,3326,3384,3326,3326,3339,3326,3331,3334,3371,3338,3381,3335,3334,3329,3340,3344,3338,3355,3344,3394,3329,3357,3324,3398,3331
DTLB_MISSES.MISS_LD,r0208:u,2097,2123,2090,2104,2084,2086,2086,2083,2082,2079,2114,2088,2080,2083,2092,2085,2088,2085,2084,2119,2089,2121,2084,2080,2090,2087,2089,2091,2079,2071,2102,2088
DTLB_MISSES.L0_MISS_LD,r0408:u,6682,6640,6737,6962,6988,6972,7016,6956,6996,6974,7137,6953,6987,6968,6953,6983,6949,6980,6966,7076,6989,7097,6967,6982,6987,6991,6994,6985,6968,6956,6994,6994
DTLB_MISSES.MISS_ST,r0808:u,1423,1411,1423,1407,1246,1245,1246,1246,1255,1244,1246,1247,1259,1243,1246,1245,1249,1245,1246,1247,1247,1245,1248,1248,1247,1247,1249,1244,1246,1244,1246,1245
MEMORY_DISAMBIGUATION.RESET,r0109:u,11,8,10,12,8,7,9,8,9,8,8,8,10,8,8,8,8,8,7,8,7,8,8,8,8,9,8,8,8,8,8,8
MEMORY_DISAMBIGUATION.SUCCESS,r0209:u,561351,557658,563911,560607,557467,562110,561462,564418,559484,559346,559499,563014,563878,563801,562781,564279,558534,564310,561272,563564,557808,563132,560880,561570,564366,562430,564567,561530,561248,561233,560909,561102
PAGE_WALKS.COUNT,r010c:u,3161,3177,3207,3160,2987,3083,2978,2986,2987,2994,3053,2994,2998,2980,3040,2989,3067,2991,2986,2987,2984,3079,3004,3049,2998,3060,2988,3050,2997,3010,2996,2986
PAGE_WALKS.CYCLES,r020c:u,44589,42223,41709,42184,41790,41192,41059,42453,41236,41112,41391,41438,42308,41289,41244,40839,43167,41425,45872,41396,41155,41412,41452,41381,41431,43100,41359,42407,41295,46091,41220,45011
FP_COMP_OPS_EXE,r0010:u,11536451,11537800,11538106,11537063,11535842,11535866,11535864,11535867,11535569,11535957,11535834,11535797,11535737,11535785,11535705,11535523,11535626,11535848,11535949,11535817,11535802,11535700,11535984,11535877,11535471,11535714,11535821,11536030,11535780,11535756,11535830,11535714
FP_ASSIST,r0011:u,10,18,10,10,11,7,8,9,8,13,10,10,8,11,9,9,9,9,9,8,12,8,9,9,9,9,9,9,9,11,9,8
MUL,r0012:u,5244470,5244780,5245030,5244283,5243846,5243832,5243841,5243872,5243713,5243916,5243950,5243798,5243777,5243844,5243778,5243828,5243781,5243871,5243951,5243874,5243700,5243779,5243961,5243802,5243705,5243832,5243896,5243829,5243849,5243831,5243892,5243664
DIV,r0013:u,102,102,102,101,102,102,102,102,101,102,102,102,102,102,102,102,102,102,102,102,102,102,102,101,102,102,102,102,102,102,102,102
CYCLES_DIV_BUSY,r0014:u,1121,1124,1117,1120,1118,1120,1118,1123,1118,1119,1113,1120,1120,1120,1120,1122,1122,1124,1120,1125,1124,1119,1122,1122,1119,1121,1122,1126,1116,1124,1120,1120
IDLE_DURING_DIV,r0018:u,157,151,160,155,154,160,148,150,157,159,157,162,159,155,153,153,152,161,157,163,161,166,157,155,155,154,152,162,155,160,153,157
DELAYED_BYPASS.FP,r0019:u,7330996,7330520,7327804,7330623,6655813,6685639,6691914,6675671,6662220,6684814,6675291,6681392,6672360,6678632,6674802,6666654,6684427,6665009,6672444,6673977,6668302,6670832,6685472,6678050,6668277,6677698,6684316,6683784,6683898,6683661,6683186,6676503
DELAYED_BYPASS.SIMD,r0119:u,46,44,47,45,48,45,47,48,44,45,47,47,46,43,44,43,46,47,47,47,47,46,45,46,43,47,45,47,46,46,44,47
DELAYED_BYPASS.LOAD,r0219:u,15694,11044,11213,11112,14465,11115,11201,11235,11622,13075,11116,13561,11402,11443,11137,15863,11807,15339,11505,11072,11090,11659,13361,11132,12614,11415,12565,11134,15628,11128,11181,11132
L2_ADS.CORE,r4021:u,478828,467363,512338,526336,462515,468204,500572,468035,522958,467605,474497,467580,466740,463767,467197,464962,468249,474144,468199,519655,467450,485752,466832,467980,463611,468795,463940,467207,467062,466903,499363,465793
L2_DBUS_BUSY_RD.CORE,r4023:u,876218,893022,854310,861301,845175,879918,852334,878266,885150,890640,877821,873045,880980,880583,874613,860210,882412,883259,855887,886200,868791,881003,879095,873682,868541,893995,861195,870595,882136,888317,852629,873642
L2_LINES_IN.CORE,r4024:u,3818,3399,3500,3789,3452,3406,3452,3432,3905,3348,3500,3422,3418,3513,3366,3388,3370,3780,3497,3821,3559,3862,3462,3404,3501,3380,3449,3440,3794,3417,3383,3435
L2_LINES_IN.CORE.PREFETCH,r5024:u,124251,115151,116897,124249,116575,114776,115688,116139,127194,114359,117964,115778,114702,115411,114155,114707,114381,124424,118237,123592,115362,125431,116554,114392,117415,114285,115000,115307,121373,115583,114120,115779
L2_M_LINES_IN.CORE,r4025:u,100606,100708,100452,100470,100713,100636,100398,100672,100146,100594,99670,100629,99817,100562,100730,100466,100638,100769,100369,100602,100351,99953,100360,100226,100219,100102,100339,100287,100245,100417,100115,100461
L2_LINES_OUT.CORE,r4026:u,3400,3429,3504,3739,3384,3390,3460,3365,3580,3375,3943,3367,4095,3525,3380,3409,3426,3381,3388,3444,3601,3520,3399,3442,3451,3541,3424,3458,3449,3380,3937,3436
L2_LINES_OUT.CORE.PREFETCH,r5026:u,116463,115239,115045,115343,114153,126161,115448,114511,114453,114768,118466,114829,116892,114356,130050,115095,133684,115235,114530,122444,113739,127156,115792,131042,114903,123373,114715,131858,114554,116959,115164,114999
L2_M_LINES_OUT.CORE,r4027:u,2378,2358,2359,2388,2374,2416,2367,2345,2345,2350,2344,2375,2403,2468,2374,2341,2270,2358,2332,2365,2501,2437,2369,2405,2399,2351,2395,2381,2439,2362,2325,2360
L2_M_LINES_OUT.CORE.PREFETCH,r5027:u,84959,74586,84994,85695,85492,82236,84881,84966,84466,85281,85726,85386,82875,85056,84223,85589,84602,85010,84293,84427,83926,84669,84692,85601,85381,81136,85100,85181,85324,79616,85789,81774
L2_IFETCH.CORE.ALL,r4f28:u,2692,2898,2716,2698,2697,2790,2683,2720,2685,2697,2683,2694,2769,2697,2711,2695,2739,2718,2724,2689,2722,2696,2686,2677,2716,2763,2722,2728,2707,2880,2686,2712
L2_LD.CORE.ALL,r4f29:u,68999,69107,69000,68974,68978,69186,69313,69487,69528,69277,69389,69303,69268,69474,69520,69333,69445,69480,69555,69314,69045,68999,69027,69126,68997,69038,69108,69120,69060,69032,69107,69242
L2_LD.CORE.PREFETCH.ALL,r5f29:u,346515,324212,300646,345961,346122,337097,345213,337451,345195,345399,345870,345778,345616,345684,344353,346048,341703,346578,336625,345988,345939,345777,346326,338243,346058,346024,346134,342156,345108,340163,345853,339429
L2_ST.CORE.ALL,r4f2a:u,98751,98787,98763,98742,98720,98740,98707,98748,98736,98814,98713,98808,98730,98734,98723,98714,98741,98760,98747,98952,98833,98709,98732,98709,98715,98685,98695,98680,98717,98712,98750,98742
L2_LOCK.CORE.ALL,r4f2b:u,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L2_RQSTS.CORE.ALL,r4f2e:u,170679,170390,170789,170387,171172,170485,170778,170748,170965,170960,170849,170817,170767,170872,170817,171314,170772,171224,170861,170948,170755,170477,170739,170399,170820,170440,170786,170415,170922,170409,170510,170479
L2_RQSTS.CORE.PREFETCH.ALL,r5f2e:u,333870,326389,300777,346311,346345,345988,345834,345707,346462,345408,345852,344443,345940,336853,345977,346595,345788,345922,345964,346914,343205,344769,339624,345654,346170,345853,342783,345999,345598,345956,345954,346025
L2_RQSTS.SELF.DEMAND.I_STATE,r412e:u,3687,3384,4183,3395,4298,3397,3386,3382,3393,3770,3386,3626,3475,3496,3382,4049,3376,3926,3403,3425,3780,3408,3712,3399,3835,3443,3854,3423,4215,3443,3372,3390
L2_RQSTS.SELF.DEMAND.MESI,r4f2e:u,170679,170390,170789,170387,171172,170485,170778,170748,170965,170960,170849,170817,170767,170872,170817,171314,170772,171224,170861,170948,170755,170477,170739,170399,170820,170440,170786,170415,170922,170409,170510,170479
L2_REJECT_BUSQ.CORE.ALL,r4f30:u,2391,2674,3212,3445,3641,3484,3815,3540,3589,3612,3250,3032,2996,2976,3153,2999,3132,3233,3337,4250,4058,4781,4762,4831,4846,4711,4708,4066,3594,3401,3311,3075
L2_REJECT_BUSQ.CORE.PREFETCH.ALL,r5f30:u,25405,54439,77418,43710,29396,26947,45041,27915,27064,27350,24180,21842,25189,36070,30599,25978,27397,30062,26465,28572,28370,30156,29149,30440,35059,26946,32212,22412,24326,25685,38205,26258
L2_NO_REQ.CORE,r4032:u,58369333,55215826,51952209,49635148,44692935,44246965,44076920,44090897,43925712,44126863,44054767,44136382,44133827,44157189,44103274,44085272,44080082,44074684,44464229,44824003,44755930,44199834,44086226,44054262,44128655,44134530,44109338,44141198,44055846,44159958,44109736,44031540
EIST_TRANS,r003a:u,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THERMAL_TRIP,rc03b:u,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CPU_CLK_UNHALTED.CORE_P,cycles:u,62743421,59610174,56434691,53346618,48579671,48558775,48565941,48525491,48548299,48540735,48590560,48578746,48601828,48549989,48543432,48571371,48560136,48561154,48548226,48587156,48586438,48628415,48557052,48531114,48561069,48566536,48534885,48579123,48563638,48565498,48570727,48537710
CPU_CLK_UNHALTED.BUS,r013c:u,20912661,19898890,18811962,17767315,16193443,16187983,16185255,16174505,16192278,16181695,16186550,16192083,16196174,16183650,16195682,16191118,16198550,16185632,16183612,16203242,16197877,16182356,16185360,16201301,16186345,16198631,16178880,16207141,16187252,16188727,16177695,16180573
CPU_CLK_UNHALTED.NO_OTHER,r023c:u,20717697,11518953,18595452,17603432,15986208,15881170,15750368,15975152,13581296,15541218,11596971,15744275,5160051,16002860,10915570,16054632,8703974,15996726,15989971,12242998,15728670,16055571,15996088,9665530,16070936,7770226,15999471,9145495,15982099,15889860,16033907,16009482
L1D_CACHE_LD.ALL,r0f40:u,35465958,36514392,35780977,35577190,33374609,33373685,33367256,33366949,33366347,33368836,33369020,33367725,33372676,33370037,33369695,33366065,33367137,33366476,33367293,33369266,33368909,33370344,33366739,33370922,33368943,33373052,33367805,33368286,33366260,33375056,33369378,33366615
L1D_CACHE_ST.ALL,r0f41:u,12597218,12597218,12597218,12597218,12597218,12597218,12597218,12597218,12597218,12597218,12597218,12597218,12597218,12597218,12597218,12597218,12597218,12597218,12597218,12597218,12597218,12597218,12597218,12597218,12597218,12597218,12597218,12597218,12597218,12597218,12597218,12597218
L1D_CACHE_LOCK.ALL,r0f42:u,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
L1D_CACHE_LOCK_DURATION,r1042:u,74,72,72,72,72,73,72,74,73,72,72,72,72,72,95,72,74,73,74,72,72,74,72,87,72,72,72,86,72,73,72,74
L1D_ALL_REF,r0143:u,48066044,49113249,48371306,48170618,45974229,45969846,45968454,45975949,45964511,45970392,45966177,45968722,45965391,45966018,45964018,45964295,45963688,45966274,45971779,45966289,45968977,45964916,45964998,45966553,45965831,45963583,45963941,45965965,45964769,45967970,45967626,45965449
L1D_ALL_CACHE_REF,r0243:u,48066044,49113249,48371306,48170618,45974229,45969846,45968454,45975949,45964511,45970392,45966177,45968722,45965391,45966018,45964018,45964295,45963688,45966274,45971779,45966289,45968977,45964916,45964998,45966553,45965831,45963583,45963941,45965965,45964769,45967970,45967626,45965449
L1D_REPL,r0f45:u,167800,167668,167818,167698,167723,167850,168044,168064,168204,168068,168155,168308,167993,168211,168141,168098,168061,168214,168127,168262,167708,167708,168036,167652,167755,167687,167910,167706,167788,167675,167795,167819
L1D_M_REPL,r0046:u,98820,98748,98825,98773,98737,98764,98770,98784,98764,98768,98770,98858,98732,98755,98759,98785,98756,98776,98767,98961,98736,98736,98836,98724,98758,98717,98762,98726,98747,98734,98735,98751
L1D_M_EVICT,r0047:u,100682,100693,100412,100307,99798,100645,100728,100796,100840,100184,100633,100490,100743,100148,100700,100092,100849,100822,100550,100744,100408,100491,100239,100536,99444,100490,100274,100368,99869,100524,100520,100460
L1D_PEND_MISS,r0048:u,204837,757608,562276,80774,213612,199593,202513,201729,206417,209369,206246,211887,206338,214417,204633,213963,204413,209216,204438,211572,217739,208233,208971,209089,214685,203192,206627,202110,216888,202952,203035,202716
L1D_SPLIT.LOADS,r0149:u,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
