Performance counter,Mnemonic,Correlation,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
LOAD_BLOCK.STA,r0203:u,0.0105828262058,10,-2,-26,17,-1,-20,26,9,15,24,-1,-9,-6,25,-16,12,-49,5,-10,4,29,-32,27,-65,0,-7,25,-35,12,-26,37,3
LOAD_BLOCK.STD,r0403:u,-0.188732029106,60,-178,-2100,597,1038,265,754,447,-844,-305,-827,-55,1771,1677,-1054,680,89,1012,-100,-256,1119,292,575,-1636,307,-56,-240,-1126,-430,-271,991,228
LOAD_BLOCK.OVERLAP_STORE,r0803:u,0.929762968221,2107950,3156484,2116742,2109125,18526,9921,10090,10010,10058,10058,9974,9891,9832,9957,9856,9827,9922,9761,9853,9905,9901,9868,9830,9649,9931,9924,9763,9723,9799,9896,9903,10017
LOAD_BLOCK.UNTIL_RETIRE,r1003:u,0.935925171935,8,12,7,3,0,-1,0,0,-2,-1,0,-1,-1,-1,-1,0,0,-1,-1,-2,-2,-1,-1,-1,0,0,0,-1,-1,-1,0,-2
LOAD_BLOCK.L1D,r2003:u,-0.178605716928,766,61262,119,19565,27498,24674,26815,27368,23056,24212,25787,26551,30985,25734,27572,24284,27261,22421,29059,33680,23177,20375,27508,27604,25525,22585,26136,25206,28008,24339,27015,25295
SB_DRAIN_CYCLES,r0104:u,-0.176237062197,-1,8,-3,11,4,0,0,7,10,-2,11,6,1,9,13,1,6,10,4,4,2,6,1,15,4,3,6,11,3,-1,8,3
STORE_BLOCK.ORDER,r0204:u,-0.40065761384,186,1,1622,473,2652,3196,2980,-819,1666,2387,1096,-114,2608,1892,1494,2541,3981,1674,1338,4047,1404,3034,1858,1030,1904,2554,1212,1236,2266,2417,2601,243
STORE_BLOCK.SNOOP,r0804:u,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEGMENT_REG_LOADS,r0006:u,0.770775521236,95,85,78,81,46,46,52,61,59,42,62,63,48,36,65,40,49,56,58,46,54,61,38,56,58,51,31,65,43,45,62,55
SSE_PRE_EXEC.NTA,r0007:u,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSE_PRE_EXEC.L1,r0107:u,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSE_PRE_EXEC.L2,r0207:u,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSE_PRE_EXEC.STORES,r0307:u,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DTLB_MISSES.ANY,r0108:u,0.817631061256,541,538,536,538,525,526,523,526,524,525,527,527,527,522,529,523,520,518,527,522,525,528,522,520,524,522,517,527,524,525,522,529
DTLB_MISSES.MISS_LD,r0208:u,0.829914523967,383,386,382,377,370,371,373,375,370,373,374,371,373,373,370,368,373,376,371,366,375,369,373,373,370,370,374,374,371,374,372,373
DTLB_MISSES.L0_MISS_LD,r0408:u,-0.920360451232,550,420,571,767,840,799,810,805,800,826,805,790,855,818,778,789,810,827,787,790,824,793,806,821,795,795,825,814,800,799,771,813
DTLB_MISSES.MISS_ST,r0808:u,0.166380277607,154,153,152,152,153,153,153,152,153,153,152,152,151,154,152,154,153,152,153,154,152,154,152,152,152,154,152,152,153,152,152,153
MEMORY_DISAMBIGUATION.RESET,r0109:u,-0.170519884864,-1,0,0,-1,0,0,0,-1,-1,0,-1,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0
MEMORY_DISAMBIGUATION.SUCCESS,r0209:u,-0.112776715462,-768,531,-500,392,594,-88,-36,-72,-25,501,415,15,-310,-278,-422,-320,340,-407,188,-188,536,-240,342,-1142,-57,226,-616,150,-83,-273,208,-382
PAGE_WALKS.COUNT,r010c:u,0.547182616395,535,528,527,524,522,510,518,532,525,519,518,527,517,520,520,517,511,528,519,518,526,515,515,520,524,511,516,521,522,515,526,519
