Performance counter,Mnemonic,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
LD_BLOCKS.STORE_FORWARD,r0203:u,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,2,0,0,1,0,0,1,0,0,1,0,0
LD_BLOCKS.NO_SR,r0803:u,505,1799,1438,1815,3902,6301,3883,861,8323,2014,8869,9291,8898,658,3915,6009,847,1370,628,1573,625,725,682,1080,431,2832,674,646,849,821,635,1368
MISALIGN_MEM_REF.LOADS,r0105:u,1442507,1443038,1442388,1443290,1442416,1442665,1442291,1442750,1442470,1442856,1443130,1443095,1442266,1443609,1442622,1442202,1442276,1442271,1442760,1442214,1442903,1442223,1442594,1442192,1443016,1442200,1443124,1443047,1442832,1443115,1442780,1442283
MISALIGN_MEM_REF.STORES,r0205:u,14,4329500,16,4327124,15,4326923,15,4330364,13,4328624,14,4329067,15,4327481,16,4326787,14,4327067,14,4327298,15,4326802,15,4326909,15,4326769,15,4327536,15,4326952,14,4326942
LD_BLOCKS_PARTIAL.ADDRESS_ALIAS,r0107:u,100587738,147386818,139299047,158781102,110639970,110134851,74217870,72121142,48405922,44294328,16150631,28469416,16843433,15773366,601725,5794412,1873987,739375,13432,13388,13403,13395,13436,13418,13401,13397,13389,13416,13404,13386,13412,13386
DTLB_LOAD_MISSES.MISS_CAUSES_A_WALK,r0108:u,483,463,468,492,484,490,458,484,471,483,474,459,468,462,463,493,482,472,488,465,487,478,471,488,486,458,480,470,481,470,489,486
DTLB_LOAD_MISSES.WALK_COMPLETED_4K,r0208:u,366,357,368,373,368,371,358,372,360,368,363,363,367,361,358,373,364,362,366,360,364,362,360,373,366,358,372,363,364,364,371,368
DTLB_LOAD_MISSES.WALK_COMPLETED_2M_4M,r0408:u,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DTLB_LOAD_MISSES.WALK_COMPLETED,r0e08:u,375,361,363,372,366,367,373,373,363,363,366,364,370,356,371,367,364,365,369,352,363,368,364,361,359,369,362,369,364,366,368,362
DTLB_LOAD_MISSES.WALK_DURATION,r1008:u,11830,10405,10778,11183,10940,11474,10877,11512,11151,11480,10491,10940,11648,10974,11547,11270,10806,11356,10896,10775,11083,11087,10784,10699,10597,10812,11241,10790,11422,11848,11222,10760
DTLB_LOAD_MISSES.STLB_HIT_4K,r2008:u,898,931,1049,774,1399,769,1406,1219,1026,1131,750,928,1020,957,1047,777,1116,1644,1236,1203,1111,1005,868,1157,849,1039,1063,858,1241,1303,965,1059
DTLB_LOAD_MISSES.STLB_HIT_2M,r4008:u,25,31,31,31,16,27,21,36,25,32,14,25,31,26,19,24,22,26,24,26,17,22,22,24,21,21,23,28,14,25,27,29
DTLB_LOAD_MISSES.STLB_HIT,r6008:u,721,1136,915,1466,1330,1331,1173,1465,798,1691,763,1268,1114,844,1255,1081,1003,851,1144,860,1387,1339,871,1511,770,848,1556,1052,1062,828,843,680
DTLB_LOAD_MISSES.PDE_CACHE_MISS,r8008:u,199,220,219,210,207,202,224,220,214,212,221,210,213,218,227,206,206,210,222,217,203,222,224,206,218,218,204,228,225,204,217,209
INT_MISC.RECOVERY_CYCLES,r030d:u,241765,241863,241381,234967,232550,235203,232926,236538,235207,233102,233127,232610,231923,235973,233997,225777,227839,233640,234525,234906,232720,232945,233082,228146,233298,235380,236288,235674,235420,233573,233661,227038
UOPS_ISSUED.ANY,r010e:u,199014769,199000968,199000078,198969596,198947812,198958115,198943625,198978467,198961369,198954003,198948608,198945196,198941663,198956336,198954443,198880698,198906837,198916176,198955025,198926416,198942266,198911576,198947400,198895204,198939310,198931748,198971628,198929202,198949030,198915908,198947876,198882257
UOPS_ISSUED.FLAGS_MERGE,r100e:u,1050558,1050570,1050551,1050564,1050564,1050557,1050578,1050566,1050561,1050570,1050566,1050563,1050558,1050531,1050557,1050565,1050556,1050556,1050564,1050552,1050561,1050569,1050564,1050546,1050564,1050539,1050530,1050542,1050583,1050555,1050556,1050562
UOPS_ISSUED.SLOW_LEA,r200e:u,1052100,1052099,1052114,1052157,1052139,1052096,1052142,1052087,1052098,1052075,1052072,1052053,1052083,1052018,1052111,1052049,1052075,1052059,1052131,1052078,1052063,1052156,1052103,1052038,1052100,1052024,1052012,1052026,1052164,1052035,1052082,1052100
UOPS_ISSUED.SiNGLE_MUL,r400e:u,14432584,14433084,14433275,14432043,14427704,14429870,14427518,14431675,14428785,14430048,14429973,14430250,14429579,14428043,14428705,14423421,14427837,14425341,14429472,14425940,14429239,14425364,14430114,14426071,14424418,14423887,14430504,14425894,14427997,14424660,14429187,14425711
L2_RQSTS.DEMAND_DATA_RD_MISS,r2124:u,12112,12198,12225,12234,11698,11725,11644,11772,10720,10414,10799,12124,12074,10976,12284,12308,12138,12237,12407,12179,12158,12224,12464,12153,12149,12190,11803,11789,7148,7318,11950,12216
L2_RQSTS.DEMAND_DATA_RD_HIT,r4124:u,2423,2371,2425,2670,1148,2002,1057,1171,1259,2038,2311,1471,2538,2832,7838,8377,2871,8041,14732,6082,2813,6809,22046,8144,4032,8831,26190,6251,2892,5940,54728,3924
L2_RQSTS.ALL_DEMAND_DATA_RD,re124:u,14803,14888,15110,15373,13183,14001,12955,13168,12288,12715,13350,13912,14915,14109,20446,20990,15308,20592,27510,18578,15275,19333,34593,20589,16498,21351,38316,18339,10264,13478,66756,16437
L2_RQSTS.RFO_HIT,r4224:u,731030,736622,731078,737220,731710,736954,730582,738456,732420,737938,723564,733604,729431,733933,715323,730753,731739,734647,719792,732322,733707,733640,726150,733017,729374,732248,723593,732697,735059,729986,721129,735827
L2_RQSTS.RFO_MISS,r2224:u,16371,16377,16270,16024,15885,15683,15644,14880,15142,15031,17002,17872,19448,17176,22024,16338,18265,16605,25052,16256,16790,15452,19612,16285,17226,15612,21666,15517,15788,16196,19409,15223
L2_RQSTS.ALL_RFO,re224:u,749131,753287,747783,753491,747239,753149,746302,753335,747680,752928,742089,752451,749107,752374,738076,746969,749314,748867,740321,751709,751204,751676,745933,749832,747334,747998,745277,749375,749306,748644,739715,751042
L2_RQSTS.CODE_RD_HIT,r4424:u,728,751,699,727,735,710,759,750,695,717,781,700,703,750,744,700,742,702,726,733,755,760,725,714,728,744,774,709,726,749,684,783
L2_RQSTS.CODE_RD_MISS,r2424:u,1630,1640,1636,1645,1574,1548,1618,1616,1557,1611,1588,1591,1587,1621,1596,1565,1586,1515,1600,1602,1623,1614,1599,1572,1577,1578,1649,1581,1587,1644,1572,1596
L2_RQSTS.ALL_DEMAND_MISS,r2724:u,29427,30427,30995,30649,29118,28515,29378,28914,27306,27446,28689,30616,33158,28924,35550,29638,30172,29091,34066,30179,31947,29844,34496,29190,30995,29926,37120,29046,25231,25792,33911,30360
