Performance counter,Mnemonic,Correlation,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
LD_BLOCKS.STORE_FORWARD,r0203:u,0.0565684178954,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,-1,0,0,0
LD_BLOCKS.NO_SR,r0803:u,0.0521967831761,44,160,128,161,359,593,359,73,778,183,826,860,821,54,360,563,71,123,49,141,47,58,49,85,32,246,51,46,65,69,51,111
MISALIGN_MEM_REF.LOADS,r0105:u,0.0174465680414,131110,131163,131099,131187,131102,131127,131089,131135,131108,131145,131173,131184,131102,131236,131137,131081,131088,131088,131136,131083,131151,131083,131120,131080,131162,131081,131172,131180,131159,131186,131153,131089
MISALIGN_MEM_REF.STORES,r0205:u,0.165341989368,-1,393530,0,393295,0,393276,0,393618,-1,393443,0,393488,0,393330,0,393262,-1,393291,-1,393314,0,393264,0,393274,0,393259,0,393337,0,393278,0,393277
LD_BLOCKS_PARTIAL.ADDRESS_ALIAS,r0107:u,0.977721947316,9145040,13404483,12663606,14455091,10061740,10021725,6749064,6570899,4411298,4041799,1468989,2607384,1544413,1446624,54063,527637,171204,66508,0,-1,-1,-5,1,3,0,3,0,2,-1,0,0,-2
DTLB_LOAD_MISSES.MISS_CAUSES_A_WALK,r0108:u,-0.389128609493,1,-3,-2,1,1,1,-2,1,-1,2,4,-2,0,-1,-1,4,0,1,4,1,2,0,5,1,4,-3,3,-2,1,2,4,4
DTLB_LOAD_MISSES.WALK_COMPLETED_4K,r0208:u,-0.396335013013,0,-1,0,1,1,1,0,1,-1,0,1,1,1,0,0,2,0,1,2,1,2,1,2,2,2,-1,2,0,0,1,2,2
DTLB_LOAD_MISSES.WALK_COMPLETED_2M_4M,r0408:u,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DTLB_LOAD_MISSES.WALK_COMPLETED,r0e08:u,-0.128409102743,2,1,-1,1,0,1,3,2,0,1,3,1,4,1,1,2,0,1,1,0,2,2,2,2,2,0,0,0,1,1,0,2
DTLB_LOAD_MISSES.WALK_DURATION,r1008:u,-0.3014426994,236,82,150,157,136,219,223,220,172,184,194,177,322,203,240,245,111,277,174,212,272,222,233,171,210,85,231,112,211,224,121,222
