Performance counter,Mnemonic,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
LD_BLOCKS.STORE_FORWARD,r0203:u,0,1,0,0,0,1,0,0,1,1,0,0,1,1,1,0,1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0
LD_BLOCKS.NO_SR,r0803:u,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MISALIGN_MEM_REF.LOADS,r0105:u,4,5,4,4,5,5,4,5,5,4,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,4
MISALIGN_MEM_REF.STORES,r0205:u,14,15,14,15,14,15,13,15,14,14,16,16,15,14,14,14,15,15,16,14,15,15,15,15,15,14,16,15,14,15,14,14
LD_BLOCKS_PARTIAL.ADDRESS_ALIAS,r0107:u,23144507,31192443,28242289,24443726,10309097,146337,139947,146786,140009,134015,130872,125522,126411,125575,124997,125383,125336,125495,125389,125460,125438,125417,125478,125455,125411,125410,125453,125473,125383,125328,125290,125469
DTLB_LOAD_MISSES.MISS_CAUSES_A_WALK,r0108:u,462,468,472,455,449,494,479,477,478,489,490,455,466,473,481,474,487,474,470,470,482,478,474,466,481,490,471,501,473,485,470,469
DTLB_LOAD_MISSES.WALK_COMPLETED_4K,r0208:u,357,361,356,355,358,372,365,369,364,369,369,360,366,366,366,367,369,364,365,359,366,359,360,364,365,367,359,375,362,368,366,363
DTLB_LOAD_MISSES.WALK_COMPLETED_2M_4M,r0408:u,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DTLB_LOAD_MISSES.WALK_COMPLETED,r0e08:u,365,354,362,367,367,371,374,372,364,365,365,359,354,359,365,366,371,367,365,368,359,365,369,369,370,372,361,370,366,366,370,365
DTLB_LOAD_MISSES.WALK_DURATION,r1008:u,11026,11173,10857,11386,11180,11954,11434,11618,12285,11420,11248,10807,11559,11022,11334,11561,11973,11480,11758,11172,10936,11050,11116,11767,11563,12157,11253,12030,12112,11626,11908,11660
DTLB_LOAD_MISSES.STLB_HIT_4K,r2008:u,791,632,1240,895,663,659,1365,793,1060,1026,766,868,750,1321,964,966,838,772,1054,950,873,797,1461,1186,744,1054,743,1199,830,1152,990,753
DTLB_LOAD_MISSES.STLB_HIT_2M,r4008:u,19,14,12,17,17,17,16,15,13,16,16,17,26,15,23,18,19,16,19,16,24,25,26,20,20,24,11,25,20,17,16,26
DTLB_LOAD_MISSES.STLB_HIT,r6008:u,790,878,920,1313,1268,1125,774,1492,753,653,780,860,764,951,810,906,781,630,1272,946,975,822,1278,1442,827,1231,918,863,673,1407,794,933
DTLB_LOAD_MISSES.PDE_CACHE_MISS,r8008:u,219,196,232,224,224,219,215,230,212,216,224,204,228,206,228,224,215,213,199,211,204,222,228,216,217,207,211,222,220,219,215,227
INT_MISC.RECOVERY_CYCLES,r030d:u,241783,238028,239572,239647,235427,230342,235958,242250,242468,243022,243535,240065,244037,242479,241222,242370,238996,242024,238349,234280,235878,233292,237472,243322,241100,240074,242376,241892,241620,241940,240126,243439
UOPS_ISSUED.ANY,r010e:u,496097630,496061544,496073362,496064868,496019217,495961707,496018073,496068066,496077134,496089883,496078825,496054886,496086367,496076065,496063779,496071336,496045069,496075131,496045116,495992943,496012712,495978954,496016136,496084347,496062742,496054238,496068868,496064408,496071129,496068258,496058130,496083565
UOPS_ISSUED.FLAGS_MERGE,r100e:u,1050462,1050480,1050478,1050478,1050478,1050497,1050490,1050483,1050497,1050476,1050479,1050476,1050482,1050474,1050484,1050472,1050472,1050484,1050462,1050498,1050464,1050489,1050483,1050473,1050470,1050472,1050482,1050495,1050481,1050485,1050473,1050493
UOPS_ISSUED.SLOW_LEA,r200e:u,1052017,1052061,1052055,1052097,1052090,1052128,1052064,1052087,1052126,1052069,1052056,1052108,1052099,1052107,1052111,1052081,1052027,1052119,1052025,1052159,1052087,1052131,1052080,1052078,1052048,1052052,1052102,1052130,1052074,1052120,1052076,1052064
UOPS_ISSUED.SiNGLE_MUL,r400e:u,57701175,57699436,57696488,57696149,57693246,57687412,57694413,57697133,57697354,57697235,57697609,57697492,57697153,57697925,57696306,57697993,57695446,57697588,57695585,57688633,57690012,57687944,57693034,57693487,57697063,57697756,57696543,57693685,57695671,57696152,57697900,57698233
L2_RQSTS.DEMAND_DATA_RD_MISS,r2124:u,12426,12148,11991,12150,11899,12301,11769,11992,12150,12154,12142,12138,12130,12153,12144,12126,12168,12137,12112,12098,11847,12007,11694,12025,12224,12224,12139,12151,12140,12110,12146,12129
L2_RQSTS.DEMAND_DATA_RD_HIT,r4124:u,8762,5972,5532,7165,8425,9078,10640,9936,10264,10765,10818,10899,10692,10816,10515,10863,10763,10843,10897,12178,11115,12032,15276,14848,11326,10750,10597,11040,11230,11603,12828,12840
L2_RQSTS.ALL_DEMAND_DATA_RD,re124:u,21759,18316,17807,19629,20707,21553,22651,22252,22982,23253,23230,23325,23151,23250,22949,23274,23204,23260,23354,24553,23264,24340,27294,27145,23835,23284,23039,23491,23690,24010,25234,25270
L2_RQSTS.RFO_HIT,r4224:u,730610,732130,731981,733287,731303,731462,734717,734985,732200,733613,735534,734760,734595,734019,733418,733410,733401,734227,732391,733407,733720,735119,734420,734328,733546,734051,735144,733917,732018,734288,733650,734491
L2_RQSTS.RFO_MISS,r2224:u,16839,16752,16498,15687,16280,15616,15729,15373,16058,16184,15290,15529,15577,15534,16002,15867,15697,15617,16251,15624,15596,15608,15266,15406,15256,15818,15377,15822,15871,15766,15841,15939
L2_RQSTS.ALL_RFO,re224:u,748909,749928,748845,748556,748292,749221,750251,751438,750774,751114,750148,750039,750216,749024,750691,749706,750388,748904,749385,748977,749249,751251,750385,750590,749825,750278,750409,749594,750259,750707,750747,749803
L2_RQSTS.CODE_RD_HIT,r4424:u,733,737,748,746,665,725,709,724,693,713,763,745,748,732,738,762,803,732,756,761,731,727,737,711,733,717,687,735,747,736,699,710
L2_RQSTS.CODE_RD_MISS,r2424:u,1604,1555,1588,1585,1482,1568,1555,1557,1520,1556,1574,1560,1604,1536,1578,1539,1583,1562,1578,1591,1524,1573,1566,1540,1562,1557,1499,1582,1581,1563,1526,1545
L2_RQSTS.ALL_DEMAND_MISS,r2724:u,30905,29949,29852,29733,28876,29302,28546,29070,28899,29246,29233,29433,30002,29510,29405,29561,29681,29984,29950,29601,29026,29106,28620,28839,29404,29280,28968,29717,29386,29155,29119,29548
L2_RQSTS.ALL_DEMAND_REFERENCES,re724:u,772548,769264,769382,770783,770450,774164,776284,774970,775608,775777,776027,775644,775767,775969,774922,775576,775108,774844,774846,775345,775814,777129,782372,780221,774720,776156,775742,776427,775716,776495,777453,777774
L2_RQSTS.ALL_CODE_RD,re424:u,2312,2300,2332,2264,2222,2280,2315,2290,2261,2318,2299,2303,2325,2220,2310,2282,2257,2276,2278,2312,2295,2293,2288,2304,2310,2303,2319,2294,2258,2314,2278,2281
L2_RQSTS.L2_PF_HIT,r5024:u,27979,27083,25620,25952,26648,25857,25175,26356,26049,26615,26365,26929,26229,25574,25901,25594,25569,25651,25352,25424,25117,25282,25196,25272,25774,25360,25374,25219,25508,25378,25357,25537
L2_RQSTS.L2_PF_MISS,r3024:u,1448955,1448692,1448607,1448874,1448860,1448389,1447935,1448417,1448784,1448766,1448391,1448647,1448192,1449235,1448526,1449214,1448965,1448741,1449477,1448844,1449312,1448845,1448918,1449370,1449292,1449041,1449196,1448934,1448588,1449055,1449312,1449264
L2_RQSTS.ALL_PF,rf824:u,2183575,2187565,2186096,2184549,2184075,2182283,2181897,2181535,2181196,2181845,2180478,2182142,2180375,2180576,2180639,2179696,2179872,2179882,2180535,2179806,2180070,2178746,2175454,2176086,2179360,2179741,2179999,2180216,2180412,2178907,2177667,2177502
L2_RQSTS.MISS,r3f24:u,1483676,1484182,1483350,1482562,1482588,1482271,1482586,1483403,1483472,1484330,1482269,1484334,1483225,1483191,1483144,1483279,1483161,1482702,1483397,1482588,1482613,1482618,1482691,1483274,1482792,1483014,1482976,1483164,1483480,1482532,1483111,1482529
L2_RQSTS.REFERENCES,rff24:u,2955431,2956602,2954844,2955095,2954365,2955399,2955220,2956909,2956435,2957055,2957253,2957193,2955665,2955683,2955919,2954980,2954729,2955398,2955409,2955720,2955197,2955565,2955950,2955661,2955692,2955633,2955670,2955886,2954356,2955360,2955102,2955682
L2_DEMAND_RQSTS.WB_HIT,r5027:u,752497,750180,751690,752031,749959,752250,752499,752858,752823,752014,753084,752128,752307,752580,752760,752774,752568,752994,752978,752920,752730,752765,753005,752918,752833,752770,752830,752733,750834,752490,752665,752880
LONGEST_LAT_CACHE.REFERENCE,cache-references:u,41931,38409,40128,42517,40064,37954,39828,36747,38891,38276,39390,39979,38513,39314,37639,38838,37745,39777,39079,38697,39383,35850,36556,37449,38236,38145,37894,39682,38172,37586,37265,38270
LONGEST_LAT_CACHE.MISS,cache-misses:u,21562,19688,19137,20063,17749,15987,18378,17713,19032,17808,20472,20614,19184,21292,18589,20020,19063,21719,20868,17465,21613,17480,15450,18387,19683,19998,19312,21399,18970,19314,18190,20520
CPU_CLK_UNHALTED.THREAD_P,cycles:u,149470337,152914239,155848894,150302902,147457397,143138581,141675186,141680807,141612170,141579445,141611121,141614334,141590408,141643480,141579131,141610893,141571510,141601833,141582277,141492622,141554364,141493680,141512759,141570029,141576181,141606678,141568034,141614654,141569178,141571053,141555195,141584569
CPU_CLK_THREAD_UNHALTED.REF_XCLK,bus-cycles:u,3854753,3929121,4014306,3872073,3789476,3676413,3647299,3647630,3643364,3643980,3641733,3644687,3641032,3644520,3652775,3640829,3643140,3640985,3637767,3638289,3644937,3655191,3639827,3638395,3644375,3647694,3641000,3646351,3646094,3639243,3641174,3643606
L1D_PEND_MISS.PENDING,r0148:u,241489,237506,256418,246002,264451,261405,266073,272407,286597,283106,278769,272367,278711,263520,276898,274504,275779,271888,269396,272490,266512,281655,311608,311998,280732,291064,273695,268236,282693,277100,288940,294495
DTLB_STORE_MISSES.MISS_CAUSES_A_WALK,r0149:u,1900,1905,1967,1971,1901,1894,1856,1875,1883,1883,1895,1898,1871,1888,1906,1888,1878,1855,1861,1868,1854,1866,1865,1855,1854,1860,1850,1845,1926,1869,1872,1863
DTLB_STORE_MISSES.WALK_COMPLETED_4K,r0249:u,1786,1809,1817,1808,1804,1817,1785,1807,1820,1813,1829,1830,1788,1822,1839,1828,1814,1799,1783,1804,1782,1804,1798,1786,1796,1793,1784,1776,1853,1801,1797,1791
DTLB_STORE_MISSES.WALK_COMPLETED_2M_4M,r0449:u,4,4,5,4,4,4,4,4,4,5,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
DTLB_STORE_MISSES.WALK_COMPLETED,r0e49:u,1796,1808,1868,1797,1798,1797,1798,1827,1844,1839,1798,1821,1810,1838,1798,1796,1828,1814,1814,1809,1791,1792,1806,1808,1827,1787,1795,1805,1790,1826,1796,1809
DTLB_STORE_MISSES.WALK_DURATION,r1049:u,37021,37007,38493,37193,36809,36596,36123,36800,37736,37398,35986,36407,36702,37723,36750,36979,36877,36940,36726,36735,35893,36362,36402,36720,36938,36245,36180,36495,36350,37037,36421,36775
DTLB_STORE_MISSES.STLB_HIT_4K,r2049:u,4046,3889,3731,4158,3964,4177,3991,3984,3913,4046,4032,3946,3938,3885,4098,4108,4019,3916,3986,4082,4099,4129,4270,4080,4180,4388,3999,4021,4109,4181,4062,4246
DTLB_STORE_MISSES.STLB_HIT_2M,r4049:u,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2
DTLB_STORE_MISSES.STLB_HIT,r6049:u,3892,3854,3965,4083,4025,4144,3921,4065,4194,4067,4011,3979,4247,3954,4004,4245,3909,3966,4042,4021,4036,4076,4240,3877,4095,4023,4059,4022,4007,4000,3998,4011
DTLB_STORE_MISSES.PDE_CACHE_MISS,r8049:u,584,584,584,584,586,584,586,587,584,586,585,586,583,586,584,584,587,588,585,583,586,582,586,588,586,586,585,587,585,581,586,584
LOAD_HIT_PRE.SW_PF,r014c:u,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOAD_HIT_PRE.HW_PF,r024c:u,12080,10665,12006,15873,11002,13052,13828,17419,30619,13443,14545,13961,14191,13241,14274,14114,13240,13216,12910,10906,12132,11763,12560,16017,25775,12997,12409,14361,12581,12555,12418,11219
L1D.REPLACEMENT,r0151:u,1483603,1483710,1483481,1484115,1484815,1484900,1484161,1483809,1483515,1483461,1483871,1483742,1483620,1483542,1483314,1483128,1483094,1483126,1483083,1484455,1483361,1483118,1482966,1482986,1482957,1482982,1483041,1483142,1483461,1483097,1482995,1482916
MOVE_ELIMINATION.INT_NOT_ELIMINATED,r0458:u,5908,5902,5893,5909,5948,5912,5899,5898,5937,5919,5884,5896,5917,5881,5893,5937,5933,5926,5948,5925,5862,5923,5929,5914,5940,5920,5937,5905,5894,5946,5870,5940
MOVE_ELIMINATION.SIMD_NOT_ELIMINATED,r0858:u,311,306,300,288,229,236,232,270,280,283,253,289,269,269,306,274,260,242,274,224,238,216,244,254,271,273,274,270,265,252,317,274
MOVE_ELIMINATION.INT_ELIMINATED,r0158:u,54286,54237,53954,54308,54527,54330,54204,54320,54489,54306,54044,54390,54128,54028,54121,54483,54398,54504,54497,54390,53986,54349,54245,54154,54497,54476,54407,54066,54379,54481,54058,54328
MOVE_ELIMINATION.SIMD_ELIMINATED,r0258:u,11540349,11539527,11539034,11539164,11538840,11537334,11538261,11539321,11539556,11539548,11539040,11538614,11539046,11539706,11539322,11539124,11539061,11539108,11538762,11537487,11537853,11537234,11538016,11539251,11539409,11538946,11539204,11539213,11539020,11538766,11539202,11538665
CPL_CYCLES.RING0,r015c:u,682,682,681,684,680,681,680,680,679,680,679,681,680,680,681,679,682,678,680,682,681,681,679,680,679,679,682,680,681,679,681,679
CPL_CYCLES.RING123,r025c:u,149384166,152991924,155901718,150196854,147589950,143255089,141640449,141629354,141594285,141579718,141555266,141634428,141540930,141587083,141610635,141561076,141588211,141558398,141591501,141469032,141526952,141492358,141483151,141601324,141564433,141549068,141606546,141565653,141593406,141524192,141580195,141529391
RS_EVENTS.EMPTY_CYCLES,r015e:u,734752,719899,705919,719218,732055,725544,708132,708481,713769,720205,699469,712754,713243,729293,739475,702061,730611,696992,719596,679722,709184,683196,665894,732536,714324,714457,735085,712679,725526,678792,731389,699618
OFFCORE_REQUESTS_OUTSTANDING.DEMAND_DATA_RD,r0160:u,1517216900,1695262618,1563212551,1451318118,1364787177,1515903637,1380825933,1069616094,1368371135,1149219201,1289010812,1359704542,1133250509,1343228088,1232532910,1289045242,1244265211,1375616297,1373946742,1432263190,1425886164,1261679406,1127555140,1288263877,1359498391,1335614871,1457031949,1268092465,1183428343,1267023770,1320724958,1171291546
OFFCORE_REQUESTS_OUTSTANDING.DEMAND_CODE_RD,r0260:u,918962558,927091691,1166464537,947021652,951925839,1061812201,887018502,660822777,760865251,640482062,764612856,799709524,731597933,782034351,737046725,674692705,743807222,706812802,703876039,968177935,925739841,1077241080,843556789,782565645,830275252,864692520,834936542,654589854,885566622,898083589,749192249,807613097
OFFCORE_REQUESTS_OUTSTANDING.DEMAND_RFO,r0460:u,79353422,96131040,18057627,17617317,47337488,134906608,3271780,16576550,32379874,16772711,17102093,47290834,16726332,31470934,17253685,17111532,17007735,31642576,52781643,1673750,41318914,89414501,31335877,31483806,2369527,16996948,133509266,45813140,60349011,16949068,45867640,2467988
OFFCORE_REQUESTS_OUTSTANDING.ALL_DATA_RD,r0860:u,622988256,740126922,799024301,701844440,650365217,670835751,682656678,698865919,661727434,589063676,636580706,684320408,634549201,603894017,595366194,640470833,616913637,576684929,719319968,731472983,736306190,608855153,708008882,653041133,656300718,562959900,619233575,599885791,643134625,583039512,590538833,580412284
LOCK_CYCLES.SPLIT_LOCK_UC_LOCK_DURATION,r0163:u,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOCK_CYCLES.CACHE_LOCK_DURATION,r0263:u,121,123,123,121,121,124,121,123,122,122,121,122,121,122,122,122,121,124,121,123,121,121,125,124,123,122,125,124,121,123,122,123
IDQ.EMPTY,r0279:u,2560438,2576178,2566473,2564097,2553965,2548309,2547555,2581455,2577956,2578098,2571716,2573448,2626944,2581681,2572309,2580036,2586500,2588095,2561217,2533086,2518793,2527091,2555457,2581246,2591408,2567882,2585934,2561169,2574159,2578209,2584730,2578618
IDQ.MITE_UOPS,r0479:u,144747,154589,243441,148195,147854,143340,146749,155939,158643,155831,149997,156186,585944,155784,157861,157344,159174,162710,151088,144572,134383,141605,147631,244300,158504,151998,155538,148410,157240,152081,162051,153408
IDQ.DSB_UOPS,r0879:u,76547164,76521156,77425098,76527552,76487416,76471122,76476874,76532873,76510632,76540241,76521018,76686314,76577048,76554687,76970530,76545894,76528982,76508901,76523322,76541313,76465198,77220942,76455725,76505593,76536429,76542897,76526486,77062628,76524856,76564382,76523561,76523416
IDQ.MS_DSB_UOPS,r1079:u,1054307,1054078,1053563,1053180,1054140,1053708,1053203,1053339,1054228,1053635,1053607,1053783,1053925,1053510,1053887,1053147,1054407,1054204,1054413,1054220,1053633,1054028,1053201,1053448,1054094,1053288,1053581,1053581,1053278,1053097,1054368,1054035
IDQ.MS_MITE_UOPS,r2079:u,420958,409423,411001,408951,391830,387503,398811,415345,401796,414649,407115,417884,433784,424442,415609,420816,412074,404675,415283,393238,390919,387884,390369,408613,415811,415334,414691,409583,414318,413678,408021,410447
IDQ.MS_UOPS,r3079:u,1475264,1463502,1464564,1462131,1445969,1441211,1452014,1468684,1456025,1468284,1460721,1471667,1487709,1477952,1469496,1473963,1466482,1458879,1469695,1447458,1444552,1441911,1443570,1462062,1469905,1468622,1468272,1463165,1467596,1466775,1462389,1464482
IDQ.ALL_DSB_CYCLES_ANY_UOPS,r01001879:u,23718171,23719557,23709359,23711293,23703884,23701590,23702182,23722029,24121624,23711222,23720881,23722833,23717773,23723330,23719982,24062733,23737390,23721320,23718375,23702889,23697189,23700706,23706700,23711707,23717228,23725452,23719098,23716556,23719433,23713901,23723184,23712933
IDQ.ALL_DSB_CYCLES_4_UOPS,r04001879:u,12918418,12919591,12910239,12912044,12905817,12903999,12904940,12920782,13254845,12912191,12919913,12921647,12917593,12922626,12919102,13205913,12933763,12920127,12918239,12905056,12900524,12903297,12908267,12911774,12917246,12924104,12918641,12916341,12919170,12914392,12922121,12913848
IDQ.ALL_MITE_CYCLES_ANY_UOPS,r01002479:u,275343,275542,266982,264003,259102,256133,259916,272378,468198,269183,273876,277382,270945,277868,273810,440856,281804,275006,274776,258048,255064,258029,265919,266814,274535,278186,272365,271294,273336,273485,275943,270375
IDQ.ALL_MITE_CYCLES_4_UOPS,r04002479:u,60483,60336,57520,57325,55060,54874,55591,59363,119709,58661,59984,61277,59055,61137,59813,111042,62270,60315,60171,55229,54463,55127,57802,57964,60118,61538,59750,59299,59617,60070,60366,58905
