Performance counter,Mnemonic,Correlation,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
LD_BLOCKS.STORE_FORWARD,r0203:u,0.00935790311305,0,0,0,0,-1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0
LD_BLOCKS.NO_SR,r0803:u,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MISALIGN_MEM_REF.LOADS,r0105:u,-0.338178050073,-1,0,-1,0,0,0,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0
MISALIGN_MEM_REF.STORES,r0205:u,-0.199434809844,-1,0,-1,0,-1,0,-1,0,0,-1,0,0,0,-1,0,-1,0,0,0,0,0,0,-1,0,0,-1,0,0,-1,0,-1,0
LD_BLOCKS_PARTIAL.ADDRESS_ALIAS,r0107:u,0.978240149396,2102855,2835511,2569495,2222243,936251,12027,11520,12131,11518,10963,10683,10193,10275,10196,10142,10179,10173,10190,10179,10186,10186,10185,10188,10187,10182,10185,10189,10188,10181,10177,10171,10190
DTLB_LOAD_MISSES.MISS_CAUSES_A_WALK,r0108:u,-0.426196960119,-3,-1,-2,-3,-3,1,5,-1,-1,1,3,-1,2,-2,0,-2,-1,0,0,-2,1,-1,-1,-1,-1,2,1,2,0,0,0,-2
DTLB_LOAD_MISSES.WALK_COMPLETED_4K,r0208:u,-0.523601941524,-2,0,-1,-1,-1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,-1,1,-1,0,0,0,1,0,1,0,1,1,0
DTLB_LOAD_MISSES.WALK_COMPLETED_2M_4M,r0408:u,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DTLB_LOAD_MISSES.WALK_COMPLETED,r0e08:u,-0.142379804096,1,-1,0,0,1,1,1,1,0,0,1,1,-1,-1,0,0,1,1,0,0,-1,0,0,1,0,1,0,1,1,0,1,0
DTLB_LOAD_MISSES.WALK_DURATION,r1008:u,-0.31121169841,164,167,103,121,159,234,200,204,227,186,135,130,224,86,149,142,194,171,221,140,88,167,161,188,166,279,151,254,263,193,185,168
DTLB_LOAD_MISSES.STLB_HIT_4K,r2008:u,-0.182257295295,2,-24,39,2,-40,-24,61,17,6,31,-13,12,-30,72,41,44,15,-9,14,5,-1,-4,82,47,0,1,-37,45,27,32,41,-1
DTLB_LOAD_MISSES.STLB_HIT_2M,r4008:u,-0.0577389994415,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,-1,0,0,-1,-1,-1,-1,0,1,-1,0,0,0,-1,0,-1,-1,-1,0
DTLB_LOAD_MISSES.STLB_HIT,r6008:u,0.050241688133,2,6,26,17,23,25,9,82,-15,-21,-12,28,-6,4,-39,25,-1,-6,30,26,26,24,68,36,-4,29,-27,-5,-48,30,17,47
DTLB_LOAD_MISSES.PDE_CACHE_MISS,r8008:u,0.0810833854575,-1,-3,1,0,0,1,-2,1,2,-2,0,-1,0,-3,1,-1,-2,0,-2,-3,-3,-1,-1,-1,1,-3,-1,1,-1,-1,-1,0
INT_MISC.RECOVERY_CYCLES,r030d:u,-0.113206062134,2094,1719,1881,1798,1393,1044,1535,2199,2407,2199,2212,1913,2123,2076,2136,2011,1761,2176,1752,1239,1408,1154,1583,2235,2149,1500,2198,2191,1969,2042,1865,2174
UOPS_ISSUED.ANY,r010e:u,0.133165043775,37771898,37768282,37769452,37768083,37763661,37758718,37764094,37769201,37770954,37770958,37769516,37767450,37769683,37769143,37768932,37768501,37766338,37769844,37766453,37760727,37762877,37759631,37763470,37770419,37769089,37764377,37769350,37768805,37768577,37768350,37767469,37769969
UOPS_ISSUED.FLAGS_MERGE,r100e:u,-0.312126555738,-4,-1,-2,-2,-1,1,3,1,5,-1,-1,-2,2,-1,-2,-2,-3,1,-2,1,-1,0,0,-1,-1,-1,-2,0,-1,0,-2,1
UOPS_ISSUED.SLOW_LEA,r200e:u,-0.256552709876,-11,-2,-3,-3,-2,3,8,2,23,-3,-3,7,8,1,-3,-3,-9,5,-7,5,-1,3,2,-1,-4,-1,-1,3,-3,0,-6,-4
UOPS_ISSUED.SiNGLE_MUL,r400e:u,0.227636474604,5245393,5245207,5244927,5244894,5244607,5244024,5244736,5244990,5244994,5244981,5245026,5244983,5244970,5245054,5244895,5245069,5244800,5245030,5244834,5244147,5244288,5244081,5244589,5244626,5244980,5245047,5244909,5244606,5244827,5244871,5245061,5245103
