Performance counter,Mnemonic,Correlation,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
LD_BLOCKS.STORE_FORWARD,r0203:u,-0.231443166005,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_BLOCKS.NO_SR,r0803:u,0.0152808281615,64,211,149,90,307,469,351,74,766,169,784,897,884,53,324,499,68,178,46,64,34,56,78,92,38,209,58,46,61,105,33,95
MISALIGN_MEM_REF.LOADS,r0105:u,-0.034921079416,131132,131153,131091,131127,131122,131144,131079,131138,131106,131138,131151,131160,131103,131216,131132,131084,131102,131077,131116,131082,131112,131086,131129,131081,131162,131088,131185,131200,131133,131179,131172,131090
MISALIGN_MEM_REF.STORES,r0205:u,0.147263819909,-1,393525,-1,393279,0,393383,0,393546,-1,393449,-1,393450,0,393351,-1,393283,-1,393243,0,393313,0,393269,0,393283,-1,393298,0,393330,-1,393292,0,393284
LD_BLOCKS_PARTIAL.ADDRESS_ALIAS,r0107:u,0.97064310507,9094794,13365514,12608014,14468641,10037633,9988473,6714942,6545935,4434326,4047938,1478474,2625654,1549070,1447556,65971,527193,173181,66321,0,9,13,9,-1,22,3,8,4,6,18,13,4,2
DTLB_LOAD_MISSES.MISS_CAUSES_A_WALK,r0108:u,0.0935439088531,7,3,6,5,3,8,11,6,5,10,6,3,3,2,9,1,5,5,7,5,8,4,8,10,2,6,2,0,5,1,3,5
DTLB_LOAD_MISSES.WALK_COMPLETED_4K,r0208:u,0.250888708037,7,3,7,5,4,8,6,7,5,7,5,3,2,2,8,1,4,4,8,4,5,4,6,6,2,5,2,2,5,5,2,5
DTLB_LOAD_MISSES.WALK_COMPLETED_2M_4M,r0408:u,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DTLB_LOAD_MISSES.WALK_COMPLETED,r0e08:u,0.176223727907,1,7,6,7,5,5,4,9,4,5,2,5,4,5,6,9,4,1,5,1,7,5,6,3,3,8,3,3,2,6,5,3
DTLB_LOAD_MISSES.WALK_DURATION,r1008:u,-0.163023557353,398,600,536,1013,300,787,472,1027,591,706,772,869,408,990,815,998,449,278,774,871,780,916,818,420,789,773,583,218,812,791,1093,684
DTLB_LOAD_MISSES.STLB_HIT_4K,r2008:u,-0.11094786959,-18,-6,-10,14,195,-228,5,-30,1,5,175,23,-15,9,7,14,1,-2,-21,0,-8,-1,-2,4,59,-4,11,12,-3,-61,2,-1
DTLB_LOAD_MISSES.STLB_HIT_2M,r4008:u,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DTLB_LOAD_MISSES.STLB_HIT,r6008:u,0.268293494074,2,-1,5,40,20,-6,8,2,-1,2,-4,-2,-7,5,3,2,3,-4,-7,-6,52,10,7,-4,-51,2,-15,-8,-8,-62,4,11
DTLB_LOAD_MISSES.PDE_CACHE_MISS,r8008:u,0.072120640104,1,10,2,-3,-3,1,0,-5,0,4,1,2,-1,-1,2,0,1,-5,0,5,-1,2,-1,2,2,1,1,5,3,6,-1,0
INT_MISC.RECOVERY_CYCLES,r030d:u,0.486556342521,8655,2091,1828,3012,825,976,2342,1672,1110,1530,1531,1328,1556,1526,477,1226,802,2200,1452,1139,794,1025,1652,1057,1793,2048,1118,1515,1227,2458,1891,1681
UOPS_ISSUED.ANY,r010e:u,0.452145026936,10883188,10764465,10760624,10770502,10753940,10756115,10765956,10761547,10757492,10758640,10758974,10757149,10759235,10757413,10753899,10755002,10754291,10759805,10759427,10753400,10754331,10753401,10761614,10753986,10760856,10758905,10756082,10755059,10756187,10759275,10761693,10756784
UOPS_ISSUED.FLAGS_MERGE,r100e:u,0.054996682013,6,5,7,12,7,3,12,6,5,9,7,3,7,3,1,6,5,9,11,6,3,4,9,10,6,12,12,1,11,3,4,10
UOPS_ISSUED.SLOW_LEA,r200e:u,0.133195100984,4,2,5,10,5,0,8,-2,-1,-2,0,4,-20,0,-14,-22,1,-1,9,12,4,1,9,0,1,9,7,-2,22,-2,2,8
UOPS_ISSUED.SiNGLE_MUL,r400e:u,0.496385663536,1327955,1312249,1311712,1314571,1311682,1312090,1311880,1311928,1311706,1311454,1311738,1311482,1311616,1311426,1311817,1311217,1311530,1311062,1311535,1311025,1311192,1311208,1311547,1311110,1311763,1311157,1311352,1311410,1311236,1311081,1311759,1311539
