Performance counter,Mnemonic,Correlation,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
LD_BLOCKS.STORE_FORWARD,r0203:u,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_BLOCKS.NO_SR,r0803:u,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MISALIGN_MEM_REF.LOADS,r0105:u,-0.13796525052,-1,0,-1,0,0,0,-1,0,-1,-1,0,0,-1,0,0,-1,0,0,0,-1,0,0,-1,-1,0,0,0,0,-1,0,0,-1
MISALIGN_MEM_REF.STORES,r0205:u,0.100195172376,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
LD_BLOCKS_PARTIAL.ADDRESS_ALIAS,r0107:u,0.996836284648,12138636,12604181,13212590,8954586,2384277,84337,56884,55310,55304,55264,55045,55127,55256,55432,55583,55660,55724,55662,55850,55813,55869,55870,55669,55456,55446,55453,55305,55271,55603,55502,55457,55484
DTLB_LOAD_MISSES.MISS_CAUSES_A_WALK,r0108:u,0.56241485252,7,7,832,7,8,5,6,5,7,8,6,6,7,8,4,6,5,9,7,4,5,7,5,7,7,6,5,8,3,5,1,5
DTLB_LOAD_MISSES.WALK_COMPLETED_4K,r0208:u,0.562380608574,6,6,831,6,5,4,5,6,6,5,6,6,5,6,4,5,5,6,4,5,5,5,5,5,5,5,4,6,1,5,3,4
DTLB_LOAD_MISSES.WALK_COMPLETED_2M_4M,r0408:u,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DTLB_LOAD_MISSES.WALK_COMPLETED,r0e08:u,0.561575475091,6,5,829,6,5,6,5,6,6,7,4,7,6,5,4,3,6,4,5,5,5,5,4,6,4,6,4,6,3,5,4,3
DTLB_LOAD_MISSES.WALK_DURATION,r1008:u,0.557272966074,623,618,16755,788,596,668,647,712,659,881,445,870,714,696,632,831,748,743,554,513,470,688,615,682,664,715,782,700,673,815,968,623
DTLB_LOAD_MISSES.STLB_HIT_4K,r2008:u,0.556227608317,6,2,691,3,12,-1,9,-1,1,26,0,-6,1,-7,21,-5,-14,43,15,15,4,6,-1,8,-1,9,-2,14,4,3,-8,-5
DTLB_LOAD_MISSES.STLB_HIT_2M,r4008:u,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
