Performance counter,Mnemonic,Correlation,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
LD_BLOCKS.STORE_FORWARD,r0203:u,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_BLOCKS.NO_SR,r0803:u,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MISALIGN_MEM_REF.LOADS,r0105:u,-0.0830965952859,0,0,-1,0,-1,0,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,0,0,-1,0,0
MISALIGN_MEM_REF.STORES,r0205:u,0.100997957183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,0,0
LD_BLOCKS_PARTIAL.ADDRESS_ALIAS,r0107:u,0.996529748277,12059287,12599816,13225696,8941102,2380983,88219,56876,55715,55304,55245,54918,55332,55400,55326,55459,55575,55656,55530,55615,55735,55623,55911,55669,55425,55327,55448,55226,55216,55450,55507,55629,55253
DTLB_LOAD_MISSES.MISS_CAUSES_A_WALK,r0108:u,0.545808985863,6,5,822,2,5,7,7,7,6,4,0,3,4,3,10,3,6,9,5,4,4,6,5,7,4,3,6,8,8,7,4,8
DTLB_LOAD_MISSES.WALK_COMPLETED_4K,r0208:u,0.546541364101,5,5,821,3,5,5,6,8,4,4,0,3,3,4,8,6,6,7,5,3,4,5,4,6,3,3,5,5,8,7,4,6
DTLB_LOAD_MISSES.WALK_COMPLETED_2M_4M,r0408:u,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DTLB_LOAD_MISSES.WALK_COMPLETED,r0e08:u,0.547390512453,4,5,830,5,4,2,6,5,6,4,3,3,4,4,5,6,5,4,4,4,3,3,4,4,4,5,3,7,7,6,5,4
DTLB_LOAD_MISSES.WALK_DURATION,r1008:u,0.560097639444,881,1139,16159,824,652,788,1061,1022,944,939,673,812,854,765,766,984,863,763,690,641,574,610,748,685,834,840,571,777,968,834,891,1121
DTLB_LOAD_MISSES.STLB_HIT_4K,r2008:u,0.537461597589,4,-16,719,6,-6,30,30,4,19,-20,7,-23,-1,18,-17,-26,3,-3,-13,5,27,2,9,10,-55,7,2,-3,-1,-36,8,2
DTLB_LOAD_MISSES.STLB_HIT_2M,r4008:u,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
