Performance counter,Mnemonic,Correlation,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
LD_BLOCKS.STORE_FORWARD,r0203:u,-0.138276094696,0,-1,-1,0,-1,0,0,0,-1,-1,0,0,-1,0,-1,0,0,0,-1,0,-1,-1,-1,-1,0,0,0,-1,0,0,-1,-1
LD_BLOCKS.NO_SR,r0803:u,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MISALIGN_MEM_REF.LOADS,r0105:u,-0.0651422021272,0,0,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,-1,0,0,-1,-1,0,0
MISALIGN_MEM_REF.STORES,r0205:u,0.0486300330406,0,0,0,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,-1,0,0,-1,0,-1
LD_BLOCKS_PARTIAL.ADDRESS_ALIAS,r0107:u,0.978638201666,2105651,2835179,2566480,2218157,938685,11941,11723,12431,11666,11057,10673,10189,10275,10192,10143,10181,10186,10185,10190,10248,10216,10179,10165,10179,10179,10170,10177,10175,10170,10163,10162,10186
DTLB_LOAD_MISSES.MISS_CAUSES_A_WALK,r0108:u,0.136320347747,1,1,1,0,2,1,2,3,0,0,-1,0,0,-2,-3,-1,-1,1,3,1,3,0,0,0,1,0,-1,0,4,-1,2,0
DTLB_LOAD_MISSES.WALK_COMPLETED_4K,r0208:u,-0.0210526081998,0,0,1,1,1,1,1,2,1,0,0,0,0,0,0,0,1,1,1,3,2,0,1,0,1,0,0,1,3,-1,2,-2
DTLB_LOAD_MISSES.WALK_COMPLETED_2M_4M,r0408:u,0.0716182761627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0
DTLB_LOAD_MISSES.WALK_COMPLETED,r0e08:u,-0.0806429816744,1,0,1,-1,2,0,3,-1,2,1,0,0,1,1,0,2,1,2,2,2,1,1,1,0,0,0,1,1,0,-1,1,-1
DTLB_LOAD_MISSES.WALK_DURATION,r1008:u,-0.0880347757092,124,125,230,222,312,112,425,95,187,176,233,122,90,359,117,413,167,490,315,265,378,207,209,116,199,135,186,178,211,104,386,70
DTLB_LOAD_MISSES.STLB_HIT_4K,r2008:u,0.364320877581,30,3,40,32,21,-2,23,7,18,13,35,-13,25,-9,9,1,9,-28,36,1,19,1,1,4,13,5,30,35,-4,-1,2,-12
DTLB_LOAD_MISSES.STLB_HIT_2M,r4008:u,-0.0352591696833,-1,-1,0,0,0,0,0,-1,0,0,0,-1,0,0,-1,0,0,0,0,-1,-1,-1,-1,0,0,0,-1,0,-1,0,0,0
DTLB_LOAD_MISSES.STLB_HIT,r6008:u,0.0488340500165,9,-28,29,30,22,23,17,1,-5,15,2,2,-14,-1,45,14,13,16,52,18,2,2,24,-12,3,2,13,-20,-2,-17,23,7
DTLB_LOAD_MISSES.PDE_CACHE_MISS,r8008:u,-0.0614242149171,0,-3,-1,1,-1,2,-1,-1,-1,0,0,0,-2,-2,1,-1,0,0,-1,0,-2,-4,-2,-2,-1,-1,0,1,0,-1,1,-2
INT_MISC.RECOVERY_CYCLES,r030d:u,-0.159583015619,2816,2105,1640,1734,1472,1226,1745,2785,1987,2634,2474,2024,2246,2193,2030,2308,2836,3361,1919,2195,1053,1048,1474,1936,2380,1963,2247,2322,2347,2129,3131,2369
UOPS_ISSUED.ANY,r010e:u,0.122068975373,37773840,37776491,37768761,37767721,37764432,37759866,37764339,37776479,37769670,37774114,37772611,37768538,37768611,37770506,37767778,37769286,37772099,37779455,37767039,37767149,37758409,37758133,37762709,37768180,37767482,37768345,37769811,37769833,37771239,37769292,37776601,37771967
UOPS_ISSUED.FLAGS_MERGE,r100e:u,-0.276070053595,0,0,0,-2,-31,-4,-1,13,4,-2,-4,-3,9,19,0,18,2,17,0,0,1,2,3,0,3,0,0,0,0,2,-2,1
UOPS_ISSUED.SLOW_LEA,r200e:u,-0.215807305019,7,2,-2,-2,-32,-4,-1,12,13,-3,-4,-4,6,17,-3,25,3,15,-7,0,-1,4,13,8,-1,1,4,1,-5,5,-9,1
UOPS_ISSUED.SiNGLE_MUL,r400e:u,0.223921952638,5245810,5245680,5244987,5244879,5244333,5244184,5244214,5245448,5245237,5245110,5244953,5245045,5245225,5245672,5244556,5245507,5245055,5245560,5244472,5243342,5244111,5243614,5243894,5245065,5244811,5245103,5244930,5245139,5244741,5244953,5244905,5245090
L2_RQSTS.DEMAND_DATA_RD_MISS,r2124:u,0.0619089628278,1068,1075,1044,1060,983,1027,1009,1052,1038,1044,1093,1050,1065,1059,1061,1123,1040,1127,1044,1038,1010,1032,1006,1031,1040,1041,1037,1035,1037,1039,1032,1035
