Performance counter,Mnemonic,Correlation,0,1
LD_BLOCKS.STORE_FORWARD,r0203:u,nan,0,0
LD_BLOCKS.NO_SR,r0803:u,1.0,255,105
MISALIGN_MEM_REF.LOADS,r0105:u,1.0,196920,196665
MISALIGN_MEM_REF.STORES,r0205:u,1.0,65638,65542
LD_BLOCKS_PARTIAL.ADDRESS_ALIAS,r0107:u,-1.0,229133,417616
DTLB_LOAD_MISSES.MISS_CAUSES_A_WALK,r0108:u,-1.0,4,6
DTLB_LOAD_MISSES.WALK_COMPLETED_4K,r0208:u,-1.0,2,6
DTLB_LOAD_MISSES.WALK_COMPLETED_2M_4M,r0408:u,nan,0,0
DTLB_LOAD_MISSES.WALK_COMPLETED,r0e08:u,-1.0,2,5
DTLB_LOAD_MISSES.WALK_DURATION,r1008:u,-1.0,430,688
DTLB_LOAD_MISSES.STLB_HIT_4K,r2008:u,1.0,11,-2
DTLB_LOAD_MISSES.STLB_HIT_2M,r4008:u,nan,0,0
DTLB_LOAD_MISSES.STLB_HIT,r6008:u,1.0,6,-2
DTLB_LOAD_MISSES.PDE_CACHE_MISS,r8008:u,-1.0,-1,5
INT_MISC.RECOVERY_CYCLES,r030d:u,-1.0,1081,1404
UOPS_ISSUED.ANY,r010e:u,1.0,5785514,5785376
UOPS_ISSUED.FLAGS_MERGE,r100e:u,1.0,8,5
UOPS_ISSUED.SLOW_LEA,r200e:u,1.0,13,-3
UOPS_ISSUED.SiNGLE_MUL,r400e:u,-1.0,1314378,1315495
L2_RQSTS.DEMAND_DATA_RD_MISS,r2124:u,1.0,845,709
L2_RQSTS.DEMAND_DATA_RD_HIT,r4124:u,-1.0,321,400
L2_RQSTS.ALL_DEMAND_DATA_RD,re124:u,1.0,1261,1168
L2_RQSTS.RFO_HIT,r4224:u,1.0,53943,51063
L2_RQSTS.RFO_MISS,r2224:u,-1.0,7832,9559
L2_RQSTS.ALL_RFO,re224:u,-1.0,61941,62361
L2_RQSTS.CODE_RD_HIT,r4424:u,-1.0,0,2
L2_RQSTS.CODE_RD_MISS,r2424:u,-1.0,3,5
L2_RQSTS.ALL_DEMAND_MISS,r2724:u,1.0,9646,5346
L2_RQSTS.ALL_DEMAND_REFERENCES,re724:u,-1.0,62866,63292
L2_RQSTS.ALL_CODE_RD,re424:u,-1.0,10,18
L2_RQSTS.L2_PF_HIT,r5024:u,-1.0,6273,6466
L2_RQSTS.L2_PF_MISS,r3024:u,-1.0,129102,129823
L2_RQSTS.ALL_PF,rf824:u,1.0,200782,199999
L2_RQSTS.MISS,r3f24:u,-1.0,141519,141540
L2_RQSTS.REFERENCES,rff24:u,1.0,265118,262981
L2_DEMAND_RQSTS.WB_HIT,r5027:u,1.0,65469,65341
LONGEST_LAT_CACHE.REFERENCE,cache-references:u,1.0,20695,13322
LONGEST_LAT_CACHE.MISS,cache-misses:u,1.0,4108,3084
CPU_CLK_UNHALTED.THREAD_P,cycles:u,1.0,3203771,2678316
CPU_CLK_THREAD_UNHALTED.REF_XCLK,bus-cycles:u,1.0,82563,69616
L1D_PEND_MISS.PENDING,r0148:u,1.0,34629,24974
